,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.4414,0.3398,0.2112,0.304,0.2638,0.3122,0.4034,0.3668,0.3752,0.31,0.365,0.4392,0.4356,0.3836,0.3998,0.4888,0.502,0.5344
2,0.2836,0.516,0.517,0.64,0.6842,0.752,0.7226,0.793,0.7468,0.8128,0.7806,0.8278,0.7782,0.8562,0.9162,0.9146,0.836,0.8614
3,0.664,0.7356,0.7208,0.785,0.7992,0.7884,0.7986,0.9394,0.9382,0.9296,0.945,0.9432,0.965,0.96,0.9234,0.9316,0.9428,0.9624
4,0.5648,0.7728,0.8112,0.8514,0.9274,0.9248,0.9368,0.9646,0.9756,0.9802,0.9666,0.9544,0.968,0.989,0.9928,0.9952,0.9918,0.9774
5,0.814,0.8486,0.9082,0.871,0.9338,0.9598,0.9704,0.9696,0.9802,0.9766,0.986,0.9788,0.9858,0.9966,0.9886,0.977,0.9776,0.9966
6,0.895,0.941,0.9544,0.9538,0.9794,0.945,0.9742,0.979,0.9832,0.9948,0.9796,0.9836,0.9884,0.9922,0.9968,0.995,0.9986,0.9938
7,0.8838,0.923,0.9304,0.9616,0.9622,0.9614,0.9776,0.9598,0.9854,0.9912,0.9884,0.9854,0.9974,0.9944,0.9988,0.998,0.998,0.9984
8,0.9028,0.9132,0.9686,0.9762,0.9634,0.9378,0.975,0.9918,0.9796,0.992,0.9842,0.9954,0.9978,0.9944,0.9972,0.9916,0.9996,0.9948
9,0.8792,0.9204,0.9668,0.9638,0.9682,0.9718,0.9534,0.9906,0.9942,0.9942,0.9954,0.9916,0.9952,0.998,0.999,0.9976,1.0,0.9978
