epoch,trainLoss,trainAcc,o2_correct,vocabSize50,vocabSize80
0,5.743075491587321,0.02666666666666667,2,1,1
1,4.423215866088867,0.056666667064030965,4,2,1
2,4.362453524271647,0.05333333392937978,1,4,1
3,4.301145915985107,0.05000000019868215,2,4,1
4,4.2389617538452145,0.07666666626930237,1,6,1
5,4.175587565104166,0.07333333432674408,1,6,2
6,4.094826329549154,0.04333333363135656,4,6,2
7,4.043247308731079,0.06333333293596903,1,6,2
8,3.982624168395996,0.09333333333333334,3,6,2
9,3.9191748682657876,0.09333333392937979,3,6,2
10,3.8845033073425292,0.11666666726271312,1,6,4
11,3.8326583162943524,0.12666666746139527,2,6,4
12,3.811582689285278,0.10333333373069763,1,7,4
13,3.7344670327504477,0.16000000049670537,1,8,4
14,3.682961908976237,0.19000000099341074,1,11,4
15,3.6260039965311686,0.19333333293596902,1,11,4
16,3.582904968261719,0.2366666664679845,1,11,5
17,3.516269925435384,0.24000000099341073,1,12,6
18,3.447087459564209,0.24333333293596904,1,12,6
19,3.397088696161906,0.33333333015441896,1,16,7
20,3.315003573099772,0.28333333373069763,2,16,8
21,3.2510299428304035,0.4033333333333333,1,18,8
22,3.144132900238037,0.42333333412806196,2,20,10
23,3.1172973918914795,0.32666666626930235,2,20,11
24,2.9974247932434084,0.4833333325386047,3,20,12
25,3.0155403137207033,0.5166666682561238,2,22,15
26,2.8588067785898845,0.46333332935969035,2,23,16
27,2.7746533807118734,0.6033333341280619,3,24,17
28,2.616823663711548,0.5833333341280619,3,25,20
29,2.63884414990743,0.6066666674613953,2,26,20
30,2.4487139161427818,0.5833333317438761,3,26,20
31,2.497801284790039,0.6866666650772095,3,28,21
32,2.3939104588826496,0.6700000015894572,4,29,22
33,2.247778854370117,0.6733333317438761,4,29,22
34,2.211842592557271,0.719999996026357,4,29,22
35,2.111363765398661,0.7466666690508524,4,29,23
36,2.07560401280721,0.7633333357175192,4,29,23
37,1.9658095836639404,0.7933333349227906,5,29,24
38,1.8649366664886475,0.7866666658719381,5,29,24
39,1.8381800397237142,0.800000003973643,5,29,24
40,1.8633574724197388,0.8200000007947286,5,29,25
41,1.8082772541046142,0.8333333373069763,5,29,25
42,1.7765999301274618,0.7866666674613952,5,29,25
43,1.7075635560353597,0.8300000015894572,4,30,26
44,1.717089557647705,0.803333334128062,5,30,26
45,1.5527040910720826,0.8400000015894572,5,30,26
46,1.5035971816380818,0.8633333341280619,5,30,26
47,1.3699446646372477,0.8600000007947286,5,30,26
48,1.5110464318593344,0.8633333317438762,5,30,26
49,1.3685315306981405,0.8666666706403097,5,30,27
50,1.3172950744628906,0.8933333341280619,5,30,29
51,1.3913598855336506,0.880000003973643,5,30,29
52,1.2569319264094034,0.8799999984105428,5,30,29
53,1.2897773297627766,0.8899999976158142,5,30,29
54,1.3193442249298095,0.8899999976158142,5,30,29
55,1.2596273565292357,0.8933333317438762,5,30,29
56,1.1447323656082153,0.9133333309491476,5,30,29
57,1.0976760069529214,0.910000003973643,5,30,29
58,1.0784047889709472,0.9166666698455811,5,30,29
59,1.113960247039795,0.8933333309491476,5,30,29
60,1.0610057655970255,0.923333334128062,5,30,29
61,1.0760600765546162,0.9333333365122477,5,30,29
62,0.9526141452789306,0.9333333365122477,5,30,29
63,1.079765125910441,0.9333333365122477,5,30,29
64,0.9295313294728597,0.956666669845581,5,30,29
65,0.9377873531977335,0.936666669845581,5,30,29
66,0.9809435939788819,0.936666669845581,5,30,29
67,0.8988453928629557,0.9533333365122477,5,30,29
68,0.8657145937283833,0.9433333365122477,5,30,29
69,0.846913234392802,0.956666669845581,5,30,29
70,0.845067629814148,0.9533333365122477,5,30,29
71,0.858228144645691,0.97,5,30,29
72,0.8090437483787537,0.9666666666666667,5,30,29
73,0.8080984544754028,0.9533333365122477,5,30,29
74,0.8398452242215474,0.956666669845581,5,30,29
75,0.7963368384043376,0.9533333333333334,5,30,29
76,0.7630930137634278,0.97,5,30,29
77,0.7979976852734884,0.9533333365122477,5,30,29
78,0.7464636135101318,0.9633333365122477,5,30,29
79,0.7782611640294393,0.9533333365122477,5,30,29
80,0.7253029775619507,0.97,5,30,29
81,0.7040153574943543,0.9666666666666667,5,30,29
82,0.702463153998057,0.98,5,30,30
83,0.7010483082135518,0.9833333333333333,5,30,30
84,0.7006932202974955,0.98,5,30,30
85,0.6817807467778524,0.9833333309491475,5,30,30
86,0.6792004227638244,0.9733333365122477,5,30,30
87,0.6772228709856669,0.9766666666666667,5,30,30
88,0.6424005810419718,0.9766666666666667,5,30,30
89,0.6656356430053711,0.9700000031789144,5,30,30
90,0.7208161846796671,0.9700000031789144,5,30,30
91,0.6719100038210551,0.976666669845581,5,30,30
92,0.6438684288660685,0.976666669845581,5,30,30
93,0.6544784498214722,0.9866666666666667,5,30,30
94,0.5828728898366292,0.99,5,30,30
95,0.6087354326248169,0.9866666666666667,5,30,30
96,0.6204963318506876,0.98,5,30,30
97,0.5924894205729166,0.98,5,30,30
98,0.5912264847755432,0.9866666666666667,5,30,30
99,0.5942765641212463,0.9833333333333333,5,30,30
100,0.5742504755655925,0.9966666666666667,5,30,30
