epoch,trainLoss,trainAcc,o2_correct,vocabSize50,vocabSize80
0,5.88595521291097,0.05000000009934107,5,1,1
1,4.413841260274252,0.06000000029802322,3,2,1
2,4.327130502065023,0.026666666766007742,2,3,1
3,4.257277024586996,0.03333333353201548,1,4,1
4,4.194609184265136,0.04,2,4,1
5,4.136613534291585,0.03666666666666667,2,4,1
6,4.078305339813232,0.026666666766007742,4,4,1
7,4.019237632751465,0.043333333432674405,3,4,1
8,3.9642420768737794,0.05000000019868215,1,4,1
9,3.9041794204711913,0.04000000009934108,2,4,1
10,3.8555455366770426,0.05666666676600774,2,4,1
11,3.814619852701823,0.05666666696468989,1,5,1
12,3.779807914098104,0.06333333363135656,1,5,1
13,3.7460596974690756,0.0733333338300387,1,5,1
14,3.724412622451782,0.056666667461395266,1,6,1
15,3.6839279238382976,0.09000000019868215,3,6,1
16,3.6530756378173828,0.15,2,6,1
17,3.625379479726156,0.14000000059604645,2,6,1
18,3.5880133565266927,0.17666666746139525,2,9,1
19,3.556306546529134,0.19666666626930238,2,9,4
20,3.530344756444295,0.1666666676600774,2,11,4
21,3.4788810221354165,0.1766666664679845,2,11,4
22,3.4495739459991457,0.2299999992052714,2,12,4
23,3.4156706110636392,0.1800000011920929,2,13,4
24,3.3715451622009276,0.28666666746139524,3,15,5
25,3.3215492884318034,0.2633333343267441,2,17,6
26,3.269019241333008,0.3633333353201548,1,17,11
27,3.1795152632395425,0.29333333134651185,2,17,11
28,3.097103706995646,0.3666666662693024,4,17,11
29,3.0258378823598227,0.4033333353201548,3,20,11
30,2.897267367045085,0.4100000019868215,4,20,11
31,2.836378297805786,0.45333333214124044,3,20,12
32,2.6760354169209797,0.49333333015441894,4,20,13
33,2.7190359115600584,0.5033333293596903,4,21,13
34,2.6248564942677817,0.5066666686534882,4,22,15
35,2.564433937072754,0.5099999992052714,4,22,15
36,2.490671917597453,0.519999996026357,4,23,16
37,2.3706490707397463,0.5966666626930237,4,23,18
38,2.4127033042907713,0.5633333293596904,3,24,19
39,2.1962682660420736,0.59,4,25,19
40,2.322488956451416,0.6299999988079071,3,25,19
41,2.2165274461110434,0.6833333365122477,3,26,19
42,2.094174652099609,0.7200000007947286,4,27,20
43,2.0789680957794188,0.5966666706403096,5,27,20
44,1.925080893834432,0.7299999968210856,4,27,20
45,1.892616850535075,0.6999999976158142,4,28,20
46,1.8203858677546183,0.703333334128062,5,30,20
47,1.9256585534413655,0.6533333317438761,5,30,20
48,1.7766232792536418,0.7499999976158143,5,30,20
49,1.7021567010879517,0.7800000015894571,5,30,22
50,1.5846638027826945,0.8466666650772094,4,30,23
51,1.5441187461217245,0.8400000039736429,5,30,24
52,1.5886365540822347,0.8099999992052714,5,30,24
53,1.480166285832723,0.8433333349227905,4,30,25
54,1.4607648674647014,0.8466666674613953,4,30,26
55,1.4825119113922118,0.8399999984105428,4,30,26
56,1.4952088149388632,0.8499999984105429,4,30,26
57,1.4619557587305705,0.8433333373069763,4,30,26
58,1.2203105640411378,0.8866666642824809,5,30,26
59,1.214068088531494,0.860000003973643,5,30,26
60,1.2677139234542847,0.8633333341280619,5,30,26
61,1.190062508583069,0.8833333341280619,5,30,26
62,1.193821873664856,0.8700000015894572,5,30,27
63,1.270412041346232,0.8700000007947286,4,30,27
64,1.1077711192766826,0.8633333309491475,5,30,28
65,1.2136481952667237,0.8999999976158142,5,30,28
66,1.0676661133766174,0.9100000007947286,4,30,28
67,1.0802363085746765,0.9033333341280619,4,30,28
68,1.1630516370137534,0.9066666642824809,4,30,28
69,1.0644212206204733,0.8766666706403097,5,30,28
70,0.9255608892440796,0.9233333309491475,5,30,28
71,1.0210113859176635,0.9066666706403097,5,30,28
72,0.9877687644958496,0.9099999976158142,5,30,28
73,0.9590644780794779,0.9300000031789144,5,30,28
74,0.8754700287183126,0.9200000007947285,5,30,28
75,0.9542763018608094,0.9199999976158142,4,30,28
76,0.8272582165400187,0.9333333309491475,5,30,28
77,0.8223969221115113,0.9366666642824809,5,30,28
78,0.7990226205190023,0.9433333309491475,5,30,28
79,0.9068752829233805,0.9366666642824809,5,30,29
80,0.9389090553919475,0.9299999976158142,4,30,29
81,0.8420739094416301,0.9266666674613953,5,30,29
82,0.9125613991419474,0.9433333309491475,4,30,29
83,0.7937791967391967,0.9233333309491475,4,30,29
84,0.8033128643035888,0.9499999976158142,4,30,29
85,0.8121881818771363,0.9533333309491475,4,30,29
86,0.8052479728062948,0.9499999976158142,5,30,29
87,0.7269047609965007,0.9433333309491475,5,30,29
88,0.786158447265625,0.9599999976158142,5,30,29
89,0.7229333209991455,0.9433333365122477,5,30,30
90,0.7326342423756917,0.9499999976158142,5,30,30
91,0.7195507407188415,0.9499999976158142,4,30,30
92,0.703115569750468,0.9633333309491475,5,30,30
93,0.6733786010742188,0.9533333309491475,5,30,30
94,0.6906079387664795,0.9499999976158142,5,30,30
95,0.7412899327278137,0.9300000007947286,5,30,30
96,0.6856044332186381,0.9400000031789144,5,30,30
97,0.6942187134424845,0.9533333309491475,5,30,30
98,0.6672560040156047,0.9633333309491475,4,30,30
99,0.698764599164327,0.9466666642824809,5,30,30
100,0.7379807249704997,0.9266666642824809,5,30,30
