epoch,trainLoss,trainAcc,o2_correct,vocabSize50,vocabSize80
0,5.183953221638998,0.05333333333333334,2,2,0
1,4.416102549235026,0.04333333353201548,2,2,0
2,4.337562370300293,0.03666666666666667,0,2,0
3,4.2800679397583,0.04666666666666667,0,3,0
4,4.217412668863933,0.0666666669646899,2,4,0
5,4.1501607386271155,0.07000000029802322,1,5,0
6,4.100318171183268,0.06333333383003871,2,5,0
7,4.030032192866008,0.08666666646798452,2,6,0
8,3.9753770701090496,0.11333333313465119,1,8,0
9,3.9500587876637776,0.12666666766007742,2,9,0
10,3.8824507649739584,0.1699999992052714,2,10,0
11,3.8575878683725993,0.12333333134651184,3,10,1
12,3.7816642888387046,0.15333333373069763,2,10,2
13,3.7152400175730387,0.22333333253860474,3,11,2
14,3.672458979288737,0.2199999996026357,3,12,2
15,3.6212290159861245,0.20000000059604645,4,13,2
16,3.529774481455485,0.26666666666666666,3,14,2
17,3.4997222741444904,0.2799999988079071,4,17,3
18,3.39390035311381,0.24666666706403095,5,17,3
19,3.320662482579549,0.3033333321412404,4,17,5
20,3.2856499481201173,0.36333333174387616,4,17,7
21,3.19586976369222,0.39333333492279055,4,18,7
22,3.1392131423950196,0.30666666507720947,4,19,9
23,3.0825046475728355,0.4699999984105428,4,21,11
24,2.9298267396291098,0.40666666984558103,4,21,11
25,2.919420324961344,0.47333333412806194,4,21,12
26,2.791214745839437,0.5000000015894572,4,22,13
27,2.69101300239563,0.5566666634877523,4,23,13
28,2.7211326853434246,0.5133333349227905,4,24,16
29,2.6254884020487466,0.5366666642824809,5,24,16
30,2.5009422588348387,0.6133333293596903,5,25,16
31,2.474421253204346,0.61,5,25,18
32,2.468900566101074,0.6500000015894571,5,25,19
33,2.3453379106521606,0.6399999968210857,5,25,19
34,2.2682735951741537,0.6666666658719381,5,25,19
35,2.246483607292175,0.6766666634877523,5,27,19
36,2.100633382797241,0.7200000015894572,4,28,20
37,2.1138003317515057,0.6799999968210856,3,28,20
38,2.0025061257680257,0.7333333293596903,4,28,21
39,1.8920772568384807,0.7366666626930237,5,29,21
40,1.8733176072438558,0.7400000015894572,5,29,21
41,1.82929669380188,0.7999999976158142,5,29,22
42,1.804159836769104,0.7700000015894571,4,29,23
43,1.8126308186848958,0.7566666706403097,5,29,23
44,1.6585413869222005,0.7466666626930237,5,29,24
45,1.5699651018778482,0.816666669845581,5,29,26
46,1.6139889653523762,0.8166666674613953,5,29,26
47,1.6033614699045817,0.836666669845581,5,29,26
48,1.6465796407063802,0.8366666642824808,5,29,26
49,1.526166982650757,0.8633333365122478,4,29,27
50,1.4561493142445883,0.846666669845581,5,29,28
51,1.5135526704788207,0.8566666642824808,5,30,28
52,1.411369915008545,0.8633333309491475,5,30,28
53,1.493515788714091,0.856666669845581,5,30,28
54,1.2690105136235554,0.826666669845581,5,30,28
55,1.32109361966451,0.8700000031789143,5,30,28
56,1.269945157368978,0.8866666698455811,5,30,28
57,1.2182500227292379,0.8666666642824808,5,30,28
58,1.3436026541392008,0.8766666642824809,5,30,28
59,1.163648726940155,0.8866666698455811,5,30,29
60,1.205156339009603,0.8966666698455811,5,30,29
61,1.1744354422887167,0.9133333309491476,5,30,30
62,1.0974939902623495,0.8933333365122477,4,30,30
63,1.112038509051005,0.8866666642824809,4,30,30
64,1.0311868317921957,0.9099999976158142,4,30,30
65,1.024341700077057,0.9233333365122477,4,30,30
66,1.000320319334666,0.9200000031789144,5,30,30
67,0.9791245110829672,0.9400000031789144,4,30,30
68,0.9731347020467123,0.9433333365122477,4,30,30
69,0.9821281536420187,0.9333333365122477,4,30,30
70,0.9326868836085002,0.9166666642824809,4,30,30
71,1.0303392354647318,0.936666669845581,4,30,30
72,0.9107438294092814,0.9166666642824809,4,30,30
73,0.9116879749298096,0.936666669845581,4,30,30
74,0.9258513458569845,0.946666669845581,4,30,30
75,0.8898526986440023,0.9233333365122477,4,30,30
76,0.8401428190867106,0.9466666666666667,4,30,30
77,0.8670160007476807,0.9533333309491475,5,30,30
78,0.8494675668080648,0.9400000031789144,5,30,30
79,0.8156543978055318,0.9633333365122477,5,30,30
80,0.8393606559435527,0.9366666642824809,4,30,30
81,0.8156650288899739,0.9466666642824809,5,30,30
82,0.8122913448015848,0.956666669845581,4,30,30
83,0.8531227366129557,0.9500000031789144,5,30,30
84,0.8545150343577067,0.946666669845581,5,30,30
85,0.8427858750025431,0.9633333365122477,5,30,30
86,0.7234200684229533,0.9700000031789144,5,30,30
87,0.724264006614685,0.9499999976158142,4,30,30
88,0.8167723321914673,0.9700000031789144,5,30,30
89,0.8752059237162272,0.936666669845581,5,30,30
90,0.7488276449839274,0.966666669845581,4,30,30
91,0.7603449845314025,0.9733333333333334,5,30,30
92,0.6831393154462179,0.966666669845581,4,30,30
93,0.6843506137530009,0.9700000031789144,4,30,30
94,0.7281695938110352,0.9700000031789144,5,30,30
95,0.6822708535194397,0.966666669845581,5,30,30
96,0.7040292723973592,0.9800000031789143,5,30,30
97,0.7197202078501383,0.9866666666666667,5,30,30
98,0.7107001002629598,0.9700000031789144,4,30,30
99,0.7113252194722494,0.9766666666666667,5,30,30
100,0.7261087306340536,0.9733333365122477,4,30,30
