epoch,trainLoss,trainAcc,o2_correct,vocabSize50,vocabSize80
0,6.365822378794352,0.03,3,1,1
1,4.4057296244303386,0.030000000496705374,3,2,1
2,4.265364996592203,0.02666666696468989,4,2,1
3,4.19441499710083,0.023333333432674408,1,2,1
4,4.122227001190185,0.030000000099341076,1,2,1
5,4.05152379989624,0.030000000099341076,1,2,1
6,3.9792088572184245,0.016666666666666666,1,2,1
7,3.9351884746551513,0.043333333432674405,0,3,2
8,3.8721120580037436,0.04333333353201548,2,4,2
9,3.8235092544555664,0.06333333363135656,0,4,2
10,3.76513879776001,0.06333333432674408,1,4,2
11,3.7182589944203697,0.05333333373069763,1,4,2
12,3.6871058400472005,0.08000000049670537,0,4,2
13,3.652064790725708,0.10333333333333333,2,5,3
14,3.5845693747202554,0.07666666467984518,3,6,3
15,3.570725701649984,0.09666666706403096,2,6,4
16,3.529904406865438,0.11333333293596903,2,6,4
17,3.5065014298756916,0.09000000158945719,2,6,5
18,3.4674316183725993,0.13666666507720948,1,8,5
19,3.401518357594808,0.10333333532015483,1,8,5
20,3.3871146647135415,0.2100000015894572,1,10,6
21,3.255353600184123,0.2533333317438761,1,11,6
22,3.2220840962727864,0.2400000019868215,2,12,7
23,3.12669558207194,0.3099999976158142,2,14,7
24,2.995973300933838,0.3133333341280619,2,14,9
25,3.0117932510375978,0.3833333365122477,3,16,10
26,2.9113337357838946,0.28333333412806194,4,16,10
27,2.859046754837036,0.46666666984558103,2,17,10
28,2.7218745930989585,0.4933333293596904,2,20,11
29,2.6371801726023354,0.49333333253860473,2,20,11
30,2.5457207266489665,0.47666666587193807,2,21,12
31,2.414798134167989,0.6333333317438762,4,24,15
32,2.3600648641586304,0.46,4,24,17
33,2.211311167081197,0.5766666682561239,3,25,18
34,2.1844818782806397,0.6166666650772095,3,27,21
35,2.1046368312835693,0.6233333317438762,4,27,22
36,2.084895216623942,0.700000003973643,4,27,22
37,1.853950055440267,0.6966666674613953,4,27,23
38,1.808781116803487,0.7100000007947286,4,28,23
39,1.9039365800221761,0.680000003973643,4,28,23
40,1.7377621761957804,0.7766666674613952,3,28,25
41,1.6947294966379802,0.7166666674613953,4,28,26
42,1.7122513771057128,0.7566666682561238,4,29,26
43,1.4734649093945822,0.8200000007947286,5,29,27
44,1.5598506434758503,0.793333334128062,4,29,27
45,1.4579065704345704,0.8266666674613953,4,29,27
46,1.480940637588501,0.8499999976158142,4,29,27
47,1.4308814271291097,0.8433333365122477,5,29,27
48,1.3084475032488505,0.8166666674613953,4,29,27
49,1.3088217624028524,0.846666669845581,5,29,28
50,1.360744431813558,0.8699999976158143,5,29,28
51,1.327771946589152,0.8833333365122478,4,29,28
52,1.2020422069231669,0.8866666698455811,5,29,28
53,1.1344737474123636,0.8499999976158142,4,29,29
54,1.1060423835118611,0.9099999976158142,5,29,29
55,1.0112974468866984,0.9066666698455811,5,30,29
56,0.9601415586471558,0.8866666642824809,5,30,29
57,1.0825232736269632,0.8866666642824809,5,30,29
58,1.156426235040029,0.8466666642824808,5,30,29
59,0.9973365004857381,0.9000000031789144,5,30,29
60,0.976759610970815,0.9266666698455811,5,30,29
61,1.016220383644104,0.9066666666666666,5,30,29
62,0.9920945334434509,0.9266666666666666,5,30,29
63,0.8577948609987894,0.9233333309491475,5,30,29
64,0.9076887273788452,0.9400000031789144,5,30,29
65,0.9811587778727213,0.9133333309491476,5,30,29
66,0.8457791980107625,0.9266666698455811,5,30,29
67,0.8496440267562866,0.93,5,30,29
68,0.9105236434936523,0.9066666666666666,5,30,29
69,0.7392278615633646,0.9433333309491475,5,30,29
70,0.7502468291918437,0.9466666666666667,5,30,29
71,0.7829487236340841,0.9366666666666666,5,30,29
72,0.7644541668891907,0.9333333333333333,5,30,29
73,0.7666312638918559,0.95,5,30,29
74,0.7221389102935791,0.9400000031789144,5,30,29
75,0.8445638489723205,0.9233333365122477,5,30,29
76,0.7010270738601685,0.9666666666666667,5,30,30
77,0.7708495163917541,0.936666669845581,5,30,30
78,0.7377738936742146,0.9666666666666667,5,30,30
79,0.6908001104990641,0.9366666666666666,5,30,30
80,0.662842288017273,0.9666666642824808,5,30,30
81,0.6436352920532227,0.9600000031789144,5,30,30
82,0.5943593215942383,0.9633333365122477,5,30,30
83,0.6258658440907796,0.98,5,30,30
84,0.6453580633799235,0.9633333333333334,5,30,30
85,0.5664142676194509,0.9633333333333334,5,30,30
86,0.6168894688288371,0.9500000031789144,5,30,30
87,0.5949811442693075,0.9633333333333334,5,30,30
88,0.5780955425898234,0.9666666666666667,5,30,30
89,0.6118634263674418,0.97,5,30,30
90,0.6004680840174357,0.9666666666666667,5,30,30
91,0.5827602922916413,0.9733333333333334,5,30,30
92,0.5581851692994436,0.9833333333333333,5,30,30
93,0.5875128587086995,0.97,5,30,30
94,0.579510395526886,0.97,5,30,30
95,0.5136774794260661,0.98,5,30,30
96,0.5057607726256053,0.9833333333333333,5,30,30
97,0.4773823396364848,0.9766666666666667,5,30,30
98,0.49675664663314817,0.9699999976158142,5,30,30
99,0.5110205435752868,0.98,5,30,30
100,0.5057491596539815,0.97,5,30,30
