epoch,trainLoss,trainAcc,o2_correct,vocabSize50,vocabSize80
0,11.449249203999837,0.03333333432674408,3,1,1
1,4.444718602498372,0.013333333532015483,1,1,1
2,4.317629197438558,0.02666666666666667,1,1,1
3,4.24534964243571,0.03333333333333333,3,2,1
4,4.181640383402507,0.030000000298023223,3,3,1
5,4.127666435241699,0.04000000019868215,0,3,1
6,4.072614714304606,0.04333333363135656,1,3,1
7,4.017317002614339,0.04000000019868215,1,4,1
8,3.96018593788147,0.06333333353201548,1,5,1
9,3.905454610188802,0.08000000059604645,3,7,1
10,3.8634012031555174,0.08333333412806193,1,8,1
11,3.821013609568278,0.05666666726271311,0,8,1
12,3.7602540906270345,0.07333333363135655,3,9,2
13,3.7053067938486737,0.08666666785875957,3,9,2
14,3.6524619897206625,0.0999999980131785,3,9,2
15,3.604488490422567,0.12666666587193806,3,10,2
16,3.5866817728678386,0.0799999980131785,2,10,2
17,3.5004856745402018,0.12333333383003871,3,10,3
18,3.434684794743856,0.09666666766007741,4,10,3
19,3.403480698267619,0.13666666865348817,2,11,3
20,3.3709773000081382,0.15666666507720947,2,12,3
21,3.32743639310201,0.15666666746139526,4,12,4
22,3.24884069442749,0.17666667064030966,3,12,5
23,3.1911446412404376,0.18666666547457378,4,13,5
24,3.1880521901448566,0.25666666905085245,4,14,6
25,3.1071110598246254,0.2400000007947286,3,16,6
26,3.042086814244588,0.240000003973643,3,16,6
27,2.9915026092529295,0.290000003973643,3,18,6
28,2.914492804209391,0.29333333333333333,3,19,6
29,2.895027074813843,0.3033333341280619,3,20,9
30,2.767311102549235,0.36666666905085243,3,21,10
31,2.702915817896525,0.409999996026357,3,22,11
32,2.5843519115448,0.4133333301544189,3,22,11
33,2.5797549962997435,0.4399999992052714,3,22,11
34,2.5126661745707195,0.4299999992052714,3,22,12
35,2.4338545338312785,0.4966666626930237,3,24,13
36,2.4089278825124105,0.47666666587193807,2,24,14
37,2.2710741821924847,0.4799999992052714,3,24,14
38,2.2154459698994953,0.5700000015894572,4,26,16
39,2.221632021268209,0.560000003973643,4,26,16
40,2.269942812919617,0.620000003973643,4,27,17
41,2.0927768039703367,0.650000003973643,4,27,19
42,2.05584787050883,0.6833333317438761,4,27,20
43,1.9562319866816202,0.6733333293596904,4,27,20
44,1.903162384033203,0.6799999984105428,4,27,20
45,1.8394457721710205,0.7333333341280619,4,27,20
46,1.7627634843190512,0.6933333373069763,4,27,21
47,1.701268383661906,0.690000003973643,5,27,22
48,1.6202709817886352,0.650000003973643,5,27,22
49,1.6776784896850585,0.7299999984105429,4,28,23
50,1.7292308648427328,0.780000003973643,4,28,24
51,1.4504484272003173,0.7700000031789144,5,28,24
52,1.5393067264556886,0.7733333341280619,4,28,24
53,1.4587394094467163,0.7666666706403097,4,28,24
54,1.380944344997406,0.7933333365122477,5,29,25
55,1.445411179860433,0.8033333333333333,4,29,26
56,1.2541043400764464,0.8133333365122477,5,29,27
57,1.2722434600194295,0.7933333365122477,5,29,27
58,1.2872786792119344,0.793333334128062,5,29,27
59,1.376305913925171,0.8333333365122477,5,29,27
60,1.1029598903656006,0.8766666698455811,5,29,28
61,1.138303696314494,0.8666666674613953,5,29,28
62,1.0923152041435242,0.8700000031789143,5,29,28
63,1.0777413407961527,0.8233333309491475,5,29,28
64,1.0403588795661927,0.8933333309491476,5,30,28
65,1.061268440882365,0.8500000031789144,5,30,28
66,0.9642045092582703,0.88,5,30,28
67,0.9179135417938232,0.9233333365122477,5,30,28
68,1.03355491399765,0.8800000031789144,5,30,28
69,0.9291135303179423,0.9066666698455811,5,30,29
70,0.9616138013203939,0.92,5,30,29
71,0.9751077095667521,0.9366666666666666,5,30,29
72,0.9180053567886353,0.95,5,30,29
73,0.8732256547609965,0.94,5,30,29
74,0.9922985124588013,0.9233333309491475,5,30,29
75,0.8786885341008505,0.9466666666666667,5,30,29
76,0.7749172234535218,0.94,5,30,29
77,0.8063274125258127,0.9466666666666667,5,30,29
78,0.8647080938021342,0.8633333309491475,5,30,29
79,0.7519473059972127,0.9233333333333333,5,30,29
80,0.789107575416565,0.9566666666666667,5,30,29
81,0.8820663714408874,0.9166666666666666,5,30,29
82,0.7778294142087301,0.946666669845581,5,30,30
83,0.6663200644652049,0.9733333333333334,5,30,30
84,0.7467568333943685,0.97,5,30,30
85,0.733229177792867,0.9766666666666667,5,30,30
86,0.6785241615772247,0.96,5,30,30
87,0.6563704105218252,0.97,5,30,30
88,0.7154249064127605,0.9633333333333334,5,30,30
89,0.725371060371399,0.9833333333333333,5,30,30
90,0.6748949058850606,0.9633333333333334,5,30,30
91,0.7200879367192586,0.956666669845581,5,30,30
92,0.6758359464009603,0.98,5,30,30
93,0.7317961287498475,0.9733333365122477,5,30,30
94,0.7927285512288411,0.9599999976158142,5,30,30
95,0.6981662130355835,0.9733333365122477,5,30,30
96,0.5836224865913391,0.9866666666666667,5,30,30
97,0.5751549136638642,0.99,5,30,30
98,0.5588780991236368,0.97,5,30,30
99,0.6749962186813354,0.9766666666666667,5,30,30
100,0.5278002945582072,0.9833333333333333,5,30,30
