epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,4,0,0,1,1
1,1,0,0,2,1
2,3,1,1,2,2
3,1,2,1,2,2
4,2,2,1,3,2
5,2,3,1,3,2
6,2,4,1,3,2
7,1,4,1,3,2
8,4,4,2,3,2
9,3,4,2,3,2
10,5,4,2,3,2
11,4,4,2,4,2
12,4,6,2,4,2
13,5,7,3,4,2
14,6,10,4,4,2
15,6,13,6,4,2
16,7,15,8,4,2
17,6,16,8,4,2
18,5,17,8,4,2
19,5,20,10,4,2
20,7,23,14,4,2
21,5,24,15,4,2
22,5,27,17,4,2
23,6,28,18,4,2
24,5,29,20,4,2
25,7,30,23,4,2
26,4,33,24,4,2
27,5,35,25,4,2
28,3,37,26,4,2
29,4,39,26,4,2
30,4,39,29,4,2
31,4,40,29,4,2
32,6,42,31,4,2
33,3,43,31,4,2
34,6,43,32,4,2
35,2,44,33,4,2
36,4,44,34,4,2
37,5,45,35,4,2
38,6,45,37,4,2
39,5,45,37,4,2
40,4,45,38,4,2
41,5,45,38,4,2
42,7,45,38,4,2
43,5,46,39,4,2
44,6,47,40,4,2
45,5,47,41,4,2
46,5,47,41,4,2
47,5,47,41,4,2
48,5,47,41,4,2
49,6,47,42,4,2
50,7,48,42,4,2
51,5,48,42,4,2
52,5,48,44,4,2
53,4,48,44,4,2
54,6,48,45,4,2
55,5,48,45,4,2
56,6,48,45,4,2
57,5,48,45,4,2
58,5,48,45,4,2
59,5,48,45,4,2
60,5,48,45,4,2
61,6,48,45,4,2
62,5,48,46,4,2
63,4,48,46,4,2
64,4,48,46,4,2
65,4,48,46,4,2
66,4,48,46,4,2
67,6,48,46,4,2
68,7,48,47,4,2
69,4,48,47,4,2
70,5,48,47,4,2
71,5,48,47,4,2
72,5,48,47,4,2
73,7,48,47,4,2
74,5,48,48,4,2
75,6,48,48,4,2
76,4,48,48,4,2
77,2,48,48,4,2
78,6,48,48,4,2
79,5,48,48,4,2
80,6,48,48,4,2
81,3,48,48,4,2
82,5,48,48,4,2
83,6,48,48,4,2
84,7,48,48,4,2
85,5,48,48,4,2
86,6,48,48,4,2
87,5,48,48,4,2
88,5,48,48,4,2
89,6,48,48,4,2
90,5,48,48,4,2
91,6,48,48,4,2
92,5,48,48,4,2
93,7,48,48,4,2
94,7,48,48,4,2
95,6,48,48,4,2
96,6,48,48,4,2
97,8,48,48,4,2
98,6,48,48,4,2
99,8,48,48,4,2
100,5,48,48,4,2
