epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,2,2,2,1,1
1,3,3,2,2,2
2,3,4,3,3,2
3,4,4,3,3,2
4,3,5,4,3,2
5,3,6,4,3,2
6,4,7,5,3,2
7,6,8,5,3,3
8,3,10,6,3,3
9,3,13,8,3,3
10,7,15,8,3,3
11,4,17,8,3,3
12,5,21,12,3,3
13,4,24,14,3,3
14,5,25,16,3,3
15,6,28,20,3,3
16,6,32,24,3,3
17,6,36,27,3,3
18,6,36,29,3,3
19,6,36,29,3,3
20,5,36,30,3,3
21,6,36,33,3,3
22,6,39,33,3,3
23,7,41,33,3,3
24,6,41,34,3,3
25,6,41,34,3,3
26,7,41,34,3,3
27,6,42,35,3,3
28,6,42,35,3,3
29,7,44,36,3,3
30,6,44,37,3,3
31,7,44,39,3,3
32,7,44,39,3,3
33,7,47,39,3,3
34,6,47,40,3,3
35,6,47,41,3,3
36,7,47,42,3,3
37,7,48,44,3,3
38,7,48,44,3,3
39,7,48,44,3,3
40,7,48,44,3,3
41,7,48,47,3,3
42,7,48,47,3,3
43,6,48,47,3,3
44,7,48,47,3,3
45,6,48,47,3,3
46,7,48,48,3,3
47,7,48,48,3,3
48,8,48,48,3,3
49,8,48,48,3,3
50,8,48,48,3,3
51,7,48,48,3,3
52,7,48,48,3,3
53,7,48,48,3,3
54,7,48,48,3,3
55,7,48,48,3,3
56,8,48,48,3,3
57,7,48,48,3,3
58,8,48,48,3,3
59,8,48,48,3,3
60,8,48,48,3,3
61,8,48,48,3,3
62,8,48,48,3,3
63,8,48,48,3,3
64,8,48,48,3,3
65,8,48,48,3,3
66,7,48,48,3,3
67,8,48,48,3,3
68,8,48,48,3,3
69,7,48,48,3,3
70,8,48,48,3,3
71,8,48,48,3,3
72,7,48,48,3,3
73,8,48,48,3,3
74,8,48,48,3,3
75,8,48,48,3,3
76,8,48,48,3,3
77,7,48,48,3,3
78,8,48,48,3,3
79,8,48,48,3,3
80,8,48,48,3,3
81,8,48,48,3,3
82,8,48,48,3,3
83,8,48,48,3,3
84,8,48,48,3,3
85,8,48,48,3,3
86,8,48,48,3,3
87,8,48,48,3,3
88,8,48,48,3,3
89,8,48,48,3,3
90,8,48,48,3,3
91,8,48,48,3,3
92,8,48,48,3,3
93,8,48,48,3,3
94,8,48,48,3,3
95,8,48,48,3,3
96,8,48,48,3,3
97,7,48,48,3,3
98,8,48,48,3,3
99,8,48,48,3,3
100,8,48,48,3,3
