epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,6,0,0,1,1
1,3,1,1,1,1
2,2,1,1,2,1
3,3,1,1,3,2
4,2,2,1,3,2
5,2,2,1,3,2
6,1,4,2,3,3
7,3,4,2,3,3
8,4,4,2,3,3
9,4,5,2,3,3
10,5,5,2,3,3
11,4,6,2,3,3
12,4,7,3,3,3
13,4,9,4,3,3
14,3,9,5,3,3
15,3,9,5,3,3
16,5,14,5,3,3
17,6,18,8,3,3
18,4,19,9,3,3
19,4,25,14,3,3
20,4,29,16,3,3
21,5,32,20,3,3
22,6,33,21,3,3
23,4,38,24,3,3
24,6,40,27,3,3
25,5,41,28,3,3
26,7,42,29,3,3
27,5,42,29,3,3
28,6,43,29,3,3
29,6,43,31,3,3
30,5,44,33,3,3
31,6,44,36,3,3
32,7,44,39,3,3
33,8,44,41,3,3
34,6,45,41,3,3
35,7,46,41,3,3
36,7,46,42,3,3
37,7,46,42,3,3
38,6,46,42,3,3
39,6,46,43,3,3
40,8,46,43,3,3
41,6,46,44,3,3
42,7,47,44,3,3
43,8,47,45,3,3
44,8,47,45,3,3
45,7,47,45,3,3
46,8,47,46,3,3
47,7,48,47,3,3
48,7,48,47,3,3
49,7,48,47,3,3
50,8,48,47,3,3
51,7,48,47,3,3
52,7,48,47,3,3
53,7,48,47,3,3
54,7,48,47,3,3
55,8,48,47,3,3
56,7,48,47,3,3
57,8,48,47,3,3
58,8,48,47,3,3
59,8,48,47,3,3
60,8,48,47,3,3
61,8,48,47,3,3
62,7,48,47,3,3
63,8,48,47,3,3
64,8,48,47,3,3
65,8,48,47,3,3
66,8,48,48,3,3
67,7,48,48,3,3
68,8,48,48,3,3
69,8,48,48,3,3
70,7,48,48,3,3
71,8,48,48,3,3
72,8,48,48,3,3
73,7,48,48,3,3
74,6,48,48,3,3
75,7,48,48,3,3
76,7,48,48,3,3
77,8,48,48,3,3
78,8,48,48,3,3
79,7,48,48,4,3
80,8,48,48,4,3
81,8,48,48,4,3
82,8,48,48,4,3
83,8,48,48,4,3
84,8,48,48,4,3
85,8,48,48,4,3
86,8,48,48,4,3
87,7,48,48,4,3
88,8,48,48,4,3
89,8,48,48,4,3
90,8,48,48,4,3
91,8,48,48,4,3
92,9,48,48,4,3
93,9,48,48,4,3
94,8,48,48,4,3
95,9,48,48,4,3
96,8,48,48,4,3
97,8,48,48,4,3
98,9,48,48,4,3
99,8,48,48,4,3
100,9,48,48,4,3
