epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,3,1,1,1,0
1,6,2,2,1,0
2,2,2,2,2,0
3,3,3,3,3,1
4,4,3,3,3,1
5,4,3,3,3,1
6,4,4,4,3,1
7,4,4,4,3,1
8,6,7,7,3,1
9,6,8,7,3,1
10,5,9,7,3,1
11,6,13,10,3,1
12,4,13,11,3,1
13,4,15,11,3,1
14,6,17,12,3,1
15,6,19,12,3,1
16,6,21,12,3,1
17,6,24,13,3,1
18,3,26,17,3,1
19,3,28,17,3,1
20,6,34,19,3,1
21,6,39,23,3,1
22,7,40,24,3,1
23,5,40,25,3,1
24,6,42,28,3,1
25,3,42,30,3,1
26,5,44,33,3,1
27,6,44,35,3,1
28,8,45,37,3,1
29,5,45,37,3,1
30,6,45,38,3,1
31,6,45,38,3,1
32,8,45,38,3,1
33,7,46,39,3,1
34,7,46,39,3,1
35,6,46,39,3,1
36,6,46,42,3,1
37,6,46,43,3,1
38,7,48,44,3,1
39,6,48,44,3,1
40,6,48,45,3,1
41,6,48,45,4,1
42,6,48,45,4,1
43,7,48,46,4,1
44,7,48,46,4,1
45,7,48,46,4,1
46,7,48,46,4,1
47,7,48,46,4,1
48,6,48,46,4,1
49,7,48,46,4,1
50,7,48,47,4,1
51,7,48,47,4,1
52,7,48,47,4,1
53,7,48,47,4,1
54,7,48,47,4,1
55,7,48,47,4,1
56,8,48,47,4,1
57,7,48,47,4,1
58,7,48,47,4,1
59,8,48,47,4,1
60,8,48,47,4,1
61,8,48,47,4,1
62,7,48,47,4,1
63,8,48,47,4,1
64,8,48,47,4,1
65,8,48,47,4,1
66,8,48,47,4,1
67,8,48,47,4,1
68,6,48,47,4,1
69,7,48,48,4,1
70,8,48,48,4,1
71,7,48,48,4,1
72,7,48,48,4,1
73,7,48,48,4,1
74,8,48,48,4,1
75,7,48,48,4,1
76,8,48,48,4,1
77,8,48,48,4,1
78,8,48,48,4,1
79,8,48,48,4,1
80,8,48,48,4,1
81,8,48,48,4,1
82,7,48,48,4,1
83,4,48,48,4,1
84,8,48,48,4,1
85,7,48,48,4,1
86,5,48,48,4,1
87,8,48,48,4,1
88,8,48,48,4,1
89,8,48,48,4,1
90,7,48,48,4,1
91,8,48,48,4,1
92,8,48,48,4,1
93,8,48,48,4,1
94,8,48,48,4,1
95,8,48,48,4,1
96,8,48,48,4,1
97,5,48,48,4,1
98,8,48,48,4,1
99,8,48,48,4,1
100,8,48,48,4,1
