epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,4,1,0,1,1
1,5,2,0,1,1
2,4,4,0,1,1
3,3,5,0,2,1
4,3,5,0,2,2
5,2,5,0,3,2
6,2,5,0,3,2
7,2,6,1,3,2
8,3,8,1,3,2
9,1,9,2,3,2
10,2,11,3,3,2
11,2,12,5,3,2
12,3,12,6,3,2
13,2,14,6,3,2
14,2,17,7,4,2
15,4,19,9,4,2
16,2,19,12,4,2
17,2,21,14,4,2
18,2,23,17,4,2
19,3,25,18,4,2
20,3,28,18,4,2
21,3,28,19,4,2
22,3,29,21,4,2
23,3,30,23,4,2
24,2,31,23,4,2
25,3,31,24,4,2
26,1,32,26,4,2
27,4,33,26,4,2
28,2,34,26,4,2
29,3,35,28,4,2
30,3,36,28,4,2
31,6,37,28,4,2
32,4,38,30,4,2
33,5,39,31,4,2
34,5,39,31,4,2
35,6,40,32,4,2
36,5,41,34,4,2
37,4,41,35,4,2
38,5,42,35,4,2
39,6,42,36,4,2
40,6,44,37,4,2
41,6,45,39,4,2
42,6,46,41,4,2
43,6,46,42,4,2
44,5,46,42,4,2
45,6,46,42,4,2
46,7,46,43,4,2
47,6,47,44,4,2
48,7,47,44,4,2
49,6,47,45,4,2
50,6,47,45,4,2
51,6,47,45,4,2
52,5,47,45,4,2
53,5,48,45,4,2
54,7,48,45,4,2
55,7,48,45,4,2
56,6,48,45,4,2
57,7,48,46,4,2
58,6,48,46,4,2
59,5,48,46,4,2
60,8,48,48,4,2
61,7,48,48,4,2
62,7,48,48,4,2
63,5,48,48,4,2
64,7,48,48,4,2
65,7,48,48,4,2
66,7,48,48,4,2
67,6,48,48,4,2
68,6,48,48,4,2
69,7,48,48,4,2
70,6,48,48,4,2
71,5,48,48,4,2
72,7,48,48,4,2
73,8,48,48,4,2
74,6,48,48,4,2
75,8,48,48,4,2
76,8,48,48,4,2
77,8,48,48,4,2
78,5,48,48,4,2
79,7,48,48,4,2
80,6,48,48,4,2
81,7,48,48,4,2
82,7,48,48,4,2
83,7,48,48,4,2
84,8,48,48,4,2
85,8,48,48,4,2
86,7,48,48,4,2
87,7,48,48,4,2
88,8,48,48,4,2
89,8,48,48,4,2
90,8,48,48,4,2
91,8,48,48,4,2
92,7,48,48,4,2
93,7,48,48,4,2
94,8,48,48,4,2
95,8,48,48,4,2
96,6,48,48,4,2
97,8,48,48,4,2
98,8,48,48,4,2
99,7,48,48,4,2
100,7,48,48,4,2
