epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,2,1,1,1,1
1,6,2,2,2,2
2,5,2,2,2,2
3,3,4,2,2,2
4,3,4,3,2,2
5,3,5,3,2,2
6,3,6,3,2,2
7,4,9,4,2,2
8,3,11,4,2,2
9,5,11,4,2,2
10,3,13,5,2,2
11,7,14,5,2,2
12,6,16,6,2,2
13,7,18,6,2,2
14,6,19,6,2,2
15,7,21,9,2,2
16,7,24,12,2,2
17,6,28,16,2,2
18,8,32,20,2,2
19,8,34,22,2,2
20,7,34,25,2,2
21,7,34,25,2,2
22,7,35,26,2,2
23,7,38,27,2,2
24,7,38,30,2,2
25,7,38,30,2,2
26,7,39,31,3,2
27,6,39,32,3,2
28,6,40,34,3,2
29,7,41,34,3,2
30,7,42,35,3,2
31,7,42,35,3,2
32,9,42,36,3,2
33,6,42,36,3,2
34,8,42,36,3,2
35,8,44,39,3,2
36,7,45,40,3,2
37,8,45,41,3,2
38,6,45,41,3,2
39,8,45,41,3,2
40,8,46,43,3,2
41,8,46,43,3,2
42,6,46,43,3,2
43,8,46,43,3,2
44,6,46,44,3,2
45,7,47,44,3,2
46,8,47,45,3,2
47,7,47,46,3,2
48,6,47,46,3,2
49,6,47,46,3,2
50,8,47,46,3,2
51,8,47,46,3,2
52,6,48,46,3,2
53,8,48,46,3,2
54,8,48,46,3,2
55,6,48,47,3,2
56,6,48,47,3,3
57,7,48,47,3,3
58,6,48,47,3,3
59,6,48,48,3,3
60,6,48,48,3,3
61,8,48,48,3,3
62,8,48,48,3,3
63,8,48,48,3,3
64,8,48,48,3,3
65,6,48,48,3,3
66,7,48,48,3,3
67,8,48,48,3,3
68,8,48,48,3,3
69,7,48,48,3,3
70,8,48,48,3,3
71,8,48,48,3,3
72,8,48,48,3,3
73,8,48,48,3,3
74,8,48,48,3,3
75,8,48,48,3,3
76,8,48,48,3,3
77,6,48,48,3,3
78,8,48,48,3,3
79,8,48,48,3,3
80,7,48,48,3,3
81,8,48,48,3,3
82,8,48,48,3,3
83,7,48,48,3,3
84,8,48,48,3,3
85,7,48,48,3,3
86,6,48,48,3,3
87,6,48,48,3,3
88,8,48,48,3,3
89,8,48,48,3,3
90,8,48,48,3,3
91,7,48,48,3,3
92,7,48,48,3,3
93,8,48,48,3,3
94,8,48,48,3,3
95,8,48,48,3,3
96,7,48,48,3,3
97,6,48,48,3,3
98,6,48,48,3,3
99,8,48,48,3,3
100,7,48,48,3,3
