epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,3,1,1,1,0
1,1,2,1,1,0
2,4,2,1,1,0
3,4,3,1,2,0
4,4,5,1,2,0
5,4,5,1,2,0
6,4,8,1,2,0
7,4,9,2,2,0
8,4,10,2,2,0
9,4,11,3,2,0
10,5,11,3,3,0
11,4,11,3,3,0
12,5,14,5,3,0
13,5,16,5,3,0
14,4,17,5,3,0
15,7,22,6,3,0
16,3,24,8,3,0
17,6,28,14,3,0
18,5,30,17,3,0
19,5,32,17,3,0
20,5,34,21,3,0
21,5,36,25,3,0
22,6,38,29,3,0
23,6,39,31,3,0
24,6,42,33,3,0
25,6,43,34,4,0
26,6,43,35,4,0
27,6,43,35,4,0
28,6,44,36,4,0
29,6,44,37,4,0
30,6,45,38,4,0
31,6,45,39,4,0
32,5,45,40,4,0
33,6,45,41,4,0
34,6,45,42,4,0
35,6,45,42,4,0
36,6,45,44,4,0
37,6,45,44,4,0
38,5,45,44,4,0
39,6,45,44,4,0
40,6,45,44,4,0
41,6,46,44,4,0
42,6,46,44,4,0
43,6,46,44,4,0
44,6,46,44,4,0
45,5,46,45,4,0
46,5,47,45,4,0
47,5,47,45,4,0
48,5,48,45,4,0
49,5,48,45,4,0
50,5,48,45,4,0
51,5,48,45,4,0
52,6,48,46,4,0
53,5,48,46,4,0
54,5,48,46,4,0
55,6,48,46,4,0
56,6,48,46,4,0
57,6,48,46,4,0
58,6,48,46,4,0
59,5,48,46,4,0
60,6,48,46,4,0
61,5,48,47,4,0
62,6,48,47,4,0
63,5,48,47,4,0
64,6,48,47,4,0
65,6,48,47,4,0
66,6,48,48,4,0
67,6,48,48,4,0
68,6,48,48,4,0
69,5,48,48,4,0
70,5,48,48,4,0
71,5,48,48,4,0
72,5,48,48,4,0
73,6,48,48,4,0
74,6,48,48,4,0
75,5,48,48,4,0
76,5,48,48,4,0
77,5,48,48,4,0
78,6,48,48,4,0
79,5,48,48,4,0
80,5,48,48,4,0
81,5,48,48,4,0
82,5,48,48,4,0
83,6,48,48,4,0
84,5,48,48,4,0
85,5,48,48,4,0
86,5,48,48,4,0
87,6,48,48,4,0
88,5,48,48,4,0
89,5,48,48,4,0
90,5,48,48,4,0
91,6,48,48,4,0
92,5,48,48,4,0
93,5,48,48,4,0
94,5,48,48,4,0
95,5,48,48,4,0
96,5,48,48,4,0
97,6,48,48,4,0
98,5,48,48,4,0
99,5,48,48,4,0
100,5,48,48,4,0
