epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,3,1,1,1,1
1,2,1,1,1,1
2,2,1,1,1,1
3,2,2,1,1,1
4,2,3,2,2,1
5,3,3,2,2,1
6,3,4,2,2,1
7,2,4,2,2,1
8,2,5,2,2,1
9,1,5,2,2,1
10,3,7,2,3,1
11,1,7,2,3,1
12,1,7,2,3,1
13,2,7,3,3,1
14,3,9,4,3,1
15,2,9,4,3,1
16,3,15,5,3,1
17,2,15,6,3,1
18,1,18,6,3,1
19,3,18,10,3,1
20,3,19,10,3,1
21,4,20,15,3,1
22,3,23,16,3,1
23,6,24,16,3,1
24,5,28,17,3,1
25,7,31,21,3,1
26,5,33,22,3,1
27,7,38,23,3,1
28,6,39,25,3,1
29,6,41,27,3,1
30,7,42,29,3,1
31,5,42,31,3,1
32,8,42,35,3,1
33,7,43,35,3,1
34,7,43,35,3,1
35,8,44,38,3,1
36,7,44,38,3,1
37,6,44,39,3,1
38,7,44,40,3,1
39,7,44,40,3,1
40,8,44,43,3,1
41,7,44,43,3,1
42,6,44,43,3,1
43,8,45,44,3,1
44,7,46,44,3,1
45,8,46,44,3,1
46,8,46,45,3,1
47,7,46,45,3,1
48,8,47,45,3,1
49,7,47,45,3,1
50,8,47,45,3,1
51,6,47,45,3,1
52,8,48,46,3,1
53,8,48,47,3,1
54,8,48,47,3,1
55,7,48,47,3,1
56,7,48,47,3,1
57,8,48,47,3,1
58,8,48,47,3,1
59,8,48,47,3,1
60,8,48,48,3,1
61,7,48,48,3,1
62,9,48,48,3,1
63,8,48,48,3,1
64,7,48,48,3,1
65,8,48,48,3,1
66,7,48,48,3,1
67,8,48,48,3,1
68,7,48,48,3,1
69,7,48,48,3,1
70,7,48,48,3,1
71,8,48,48,3,1
72,8,48,48,3,1
73,7,48,48,3,1
74,7,48,48,3,1
75,7,48,48,3,1
76,8,48,48,3,1
77,7,48,48,3,1
78,8,48,48,3,1
79,8,48,48,3,1
80,8,48,48,3,1
81,8,48,48,3,1
82,8,48,48,3,1
83,8,48,48,3,1
84,8,48,48,3,1
85,8,48,48,3,1
86,8,48,48,3,1
87,8,48,48,3,1
88,8,48,48,3,1
89,9,48,48,3,1
90,10,48,48,3,1
91,10,48,48,3,1
92,8,48,48,3,1
93,8,48,48,3,1
94,8,48,48,3,1
95,10,48,48,3,1
96,8,48,48,4,1
97,8,48,48,4,1
98,8,48,48,4,1
99,8,48,48,4,1
100,9,48,48,4,1
