epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,2,1,0,1,1
1,3,1,0,2,1
2,5,1,0,3,1
3,4,1,0,3,1
4,3,2,1,4,1
5,3,3,1,4,1
6,1,4,2,4,1
7,1,5,2,4,1
8,1,5,2,4,1
9,2,5,3,4,1
10,2,8,4,4,1
11,2,12,5,4,1
12,1,14,6,4,1
13,2,15,7,4,1
14,2,17,8,4,1
15,4,17,9,4,1
16,4,17,10,4,1
17,3,23,12,4,1
18,4,26,14,4,1
19,4,28,16,4,1
20,5,29,19,4,1
21,4,31,21,4,1
22,4,32,24,4,1
23,4,36,26,4,1
24,4,37,28,4,1
25,6,38,28,4,1
26,4,39,30,4,1
27,6,39,30,4,1
28,7,39,32,4,1
29,5,40,33,4,1
30,5,40,34,4,1
31,5,40,35,4,1
32,4,42,36,4,1
33,6,42,36,4,1
34,7,42,37,4,1
35,4,43,38,4,1
36,4,43,39,4,1
37,6,43,39,4,1
38,7,43,40,4,1
39,5,43,41,4,1
40,5,43,41,4,1
41,6,45,41,4,1
42,5,46,41,4,1
43,5,46,41,4,1
44,7,47,42,4,1
45,6,48,42,4,1
46,6,48,43,4,1
47,8,48,44,4,1
48,4,48,44,4,1
49,6,48,44,4,1
50,6,48,44,4,1
51,6,48,46,4,1
52,8,48,46,4,1
53,5,48,46,4,1
54,6,48,46,4,1
55,8,48,46,4,1
56,7,48,46,4,1
57,8,48,46,4,1
58,8,48,47,4,1
59,7,48,47,4,1
60,8,48,47,4,1
61,8,48,47,4,1
62,8,48,47,4,1
63,8,48,47,4,1
64,7,48,47,4,1
65,7,48,48,4,1
66,8,48,48,4,1
67,6,48,48,4,1
68,6,48,48,4,1
69,7,48,48,4,1
70,7,48,48,4,1
71,7,48,48,4,1
72,8,48,48,4,1
73,8,48,48,4,1
74,8,48,48,4,1
75,7,48,48,4,1
76,8,48,48,4,1
77,8,48,48,4,1
78,7,48,48,4,1
79,7,48,48,4,1
80,8,48,48,4,1
81,6,48,48,4,1
82,8,48,48,4,1
83,6,48,48,4,1
84,7,48,48,4,1
85,8,48,48,4,1
86,7,48,48,4,1
87,7,48,48,4,1
88,7,48,48,4,1
89,7,48,48,4,1
90,8,48,48,4,1
91,7,48,48,4,1
92,8,48,48,4,1
93,7,48,48,4,1
94,8,48,48,4,1
95,8,48,48,4,1
96,8,48,48,4,1
97,8,48,48,4,1
98,7,48,48,4,1
99,8,48,48,4,1
100,7,48,48,4,1
