epoch,trainLoss,trainAcc,o2_correct,vocabSize50,vocabSize80
0,3.9649958324432375,0.023333333333333334,0,0,0
1,3.7042170906066896,0.03333333333333333,1,1,1
2,3.5578676668802895,0.04000000019868215,1,2,1
3,3.498476308186849,0.036666666766007744,2,3,2
4,3.457295659383138,0.06,4,4,2
5,3.393884242375692,0.10666666686534881,2,7,3
6,3.2776444435119627,0.11666666666666667,2,8,4
7,3.1322545210520425,0.24333333134651183,2,10,7
8,2.906244468688965,0.32333333492279054,2,14,10
9,2.653984260559082,0.4199999980131785,2,18,13
10,2.4025220425923663,0.4733333373069763,2,21,14
11,2.279055503209432,0.633333330154419,3,25,16
12,2.000582758585612,0.629999996026357,4,27,19
13,1.8634461148579915,0.6199999976158143,3,27,22
14,1.7212657181421915,0.6766666650772095,4,28,22
15,1.5830191612243651,0.7399999976158143,3,29,24
16,1.4502594502766928,0.7133333349227905,4,29,26
17,1.3450274912516276,0.8300000031789144,3,29,27
18,1.2495588906606039,0.810000003973643,3,29,28
19,1.197766548792521,0.8799999976158142,4,29,28
20,1.224063787460327,0.8866666674613952,3,30,29
21,1.0227777830759683,0.8999999984105428,3,30,29
22,1.0983903980255127,0.8533333365122477,3,30,29
23,0.9952826436360677,0.8966666674613952,3,30,29
24,0.9045987836519878,0.9199999976158142,3,30,29
25,0.9191760063171387,0.9433333309491475,4,30,29
26,0.8709101676940918,0.9500000031789144,4,30,29
27,0.8053562927246094,0.9400000031789144,3,30,29
28,0.7991734329859416,0.96,4,30,29
29,0.7360178057352702,0.9600000031789144,3,30,29
30,0.7393846313158671,0.9533333309491475,4,30,29
31,0.695900768438975,0.9566666666666667,4,30,29
32,0.6953423833847046,0.9533333333333334,3,30,29
33,0.7019839533170065,0.9600000031789144,4,30,30
34,0.6960888449350993,0.9633333365122477,4,30,30
35,0.6619684402147928,0.9833333333333333,4,30,30
36,0.6094148429234822,0.9700000007947286,4,30,30
37,0.5957781088352203,0.9733333333333334,5,30,30
38,0.5417509285608927,0.97,5,30,30
39,0.5768359998861948,0.9566666666666667,4,30,30
40,0.5368284237384796,0.9733333333333334,5,30,30
41,0.5146040463447571,0.9766666666666667,5,30,30
42,0.5649236861864726,0.976666669845581,3,30,30
43,0.5740577832857767,0.9700000031789144,3,30,30
44,0.529696364402771,0.976666669845581,5,30,30
45,0.5417886130015055,0.9733333333333334,4,30,30
46,0.5271191334724427,0.9766666666666667,4,30,30
47,0.5182164053122202,0.9866666666666667,4,30,30
48,0.5118407932917277,0.99,5,30,30
49,0.5392774820327759,0.9866666666666667,4,30,30
50,0.5460528985659281,0.9733333333333334,4,30,30
51,0.49796358823776243,0.9866666666666667,4,30,30
52,0.48242008487383525,0.9833333333333333,5,30,30
53,0.4730287114779154,0.9833333333333333,5,30,30
54,0.49090509573618574,0.9766666666666667,5,30,30
55,0.46609314282735187,0.9933333333333333,3,30,30
56,0.48377240896224977,0.99,4,30,30
57,0.5010294528802236,0.9866666666666667,5,30,30
58,0.4705342920621236,0.9833333365122477,5,30,30
59,0.4812527577082316,0.986666669845581,5,30,30
60,0.46492670734723407,0.98,4,30,30
61,0.4607130777835846,0.9833333365122477,5,30,30
62,0.45435105641682944,0.996666669845581,4,30,30
63,0.4238742399215698,0.9866666666666667,5,30,30
64,0.47006850957870483,0.9866666666666667,3,30,30
65,0.440636043548584,0.9933333333333333,4,30,30
66,0.42552122672398884,0.99,4,30,30
67,0.4118397931257884,0.9933333333333333,5,30,30
68,0.405847354332606,0.99,4,30,30
69,0.4245004204909007,0.9966666666666667,5,30,30
70,0.4143703484535217,0.9966666666666667,3,30,30
71,0.40624390681584677,0.9933333333333333,4,30,30
72,0.43373050769170124,0.9933333365122478,4,30,30
73,0.41827423334121705,0.99,4,30,30
74,0.3941596015294393,0.99,5,30,30
75,0.3923150078455607,0.9933333333333333,4,30,30
76,0.3981571364402771,0.9966666666666667,4,30,30
77,0.38944309631983437,0.996666669845581,4,30,30
78,0.38891071438789365,0.9966666666666667,4,30,30
79,0.3982837208112081,0.9933333333333333,5,30,30
80,0.4218544888496399,0.9933333365122478,4,30,30
81,0.39574334343274437,0.9900000031789143,4,30,30
82,0.4027691594759623,0.9933333333333333,5,30,30
83,0.390223065217336,0.9966666666666667,5,30,30
84,0.3799137465159098,0.99,5,30,30
85,0.40532869935035704,0.9966666666666667,4,30,30
86,0.3688491519292196,0.9966666666666667,5,30,30
87,0.37175143162409463,0.9966666666666667,5,30,30
88,0.3883724538485209,0.9933333333333333,5,30,30
89,0.3888720448811849,0.9966666666666667,5,30,30
90,0.36689574281374615,1.0,4,30,30
91,0.3753682208061218,0.9966666666666667,4,30,30
92,0.4060727067788442,1.0,4,30,30
93,0.3975348703066508,0.9933333333333333,4,30,30
94,0.3933500750859578,0.9933333333333333,4,30,30
95,0.397838450272878,1.0,3,30,30
96,0.39169411579767865,0.99,4,30,30
97,0.3690633829434713,0.9966666666666667,4,30,30
98,0.340415997505188,1.0,4,30,30
99,0.36870957374572755,0.9966666666666667,5,30,30
100,0.37723117431004843,0.9966666666666667,3,30,30
