epoch,trainLoss,trainAcc,o2_correct,vocabSize50,vocabSize80
0,3.960270299911499,0.02666666666666667,2,1,1
1,3.704545208613078,0.053333333631356554,0,2,2
2,3.579491144816081,0.08666666676600775,1,3,2
3,3.5007695643107097,0.11333333333333333,2,7,4
4,3.4157224464416505,0.14000000059604645,2,8,5
5,3.2997421264648437,0.2533333338300387,2,11,6
6,3.124070927302043,0.3099999992052714,2,14,9
7,2.925139525731405,0.4100000009934108,3,16,11
8,2.727579835255941,0.38666666676600775,4,17,13
9,2.5327144114176434,0.5866666634877523,3,21,15
10,2.4093160406748453,0.6166666642824808,4,23,19
11,2.1681962839762368,0.7033333333333334,2,25,21
12,2.0344158109029133,0.7266666626930237,2,26,23
13,1.8848864142100017,0.6533333365122477,3,27,23
14,1.7020386632283528,0.7599999992052714,2,27,24
15,1.7191807667414347,0.7300000031789143,4,27,25
16,1.4957726446787516,0.820000003973643,4,28,26
17,1.4847737121582032,0.8366666650772094,2,28,26
18,1.5185875129699706,0.8466666706403096,2,28,27
19,1.3985478909810385,0.8466666682561239,2,28,27
20,1.2597363265355428,0.8433333341280619,4,28,27
21,1.187613917986552,0.8633333341280619,2,28,27
22,1.2058728885650636,0.8900000031789144,3,28,27
23,1.037073163986206,0.8933333365122477,2,28,27
24,0.9583332093556722,0.8966666698455811,3,29,27
25,0.9880816952387492,0.8933333341280619,3,29,28
26,0.9609345149993896,0.9233333309491475,2,29,28
27,0.9364224433898926,0.9200000031789144,3,29,28
28,0.86906196753184,0.9266666642824809,2,29,28
29,0.8178481308619181,0.9233333365122477,4,29,28
30,0.8356969745953878,0.9333333309491475,3,30,29
31,0.8329416203498841,0.9199999976158142,2,30,29
32,0.7446926538149515,0.9399999976158142,2,30,29
33,0.7834826723734538,0.9399999976158142,1,30,29
34,0.7057913835843405,0.9333333309491475,3,30,29
35,0.7093401328722636,0.9366666674613953,2,30,29
36,0.7256054004033407,0.9500000007947286,2,30,29
37,0.6932059558232625,0.9466666674613953,2,30,29
38,0.6919816549619039,0.9266666674613953,5,30,29
39,0.6823270495732625,0.946666669845581,2,30,29
40,0.639969170888265,0.9600000031789144,2,30,29
41,0.6232888348897299,0.956666669845581,1,30,29
42,0.5808403062820434,0.976666669845581,1,30,30
43,0.5757031766573588,0.9633333309491475,4,30,30
44,0.5614580726623535,0.9633333365122477,3,30,30
45,0.5481896543502808,0.9800000031789143,5,30,30
46,0.5996985896428426,0.9700000031789144,2,30,30
47,0.5502369912465414,0.9699999976158142,2,30,30
48,0.5488921117782593,0.976666669845581,1,30,30
49,0.5476152475674947,0.9633333365122477,3,30,30
50,0.5839076471328736,0.9700000031789144,2,30,30
51,0.5534596419334412,0.9733333309491475,5,30,30
52,0.5407282114028931,0.9733333365122477,3,30,30
53,0.5412817939122518,0.9600000031789144,1,30,30
54,0.5149201516310374,0.9633333365122477,2,30,30
55,0.537541208267212,0.976666669845581,3,30,30
56,0.5820064123471578,0.966666669845581,2,30,30
57,0.4639304280281067,0.9800000031789143,2,30,30
58,0.492626949151357,0.976666669845581,3,30,30
59,0.49411749084790546,0.9800000031789143,3,30,30
60,0.5188314096132914,0.9766666642824808,4,30,30
61,0.484296768506368,0.9800000031789143,3,30,30
62,0.476408851146698,0.9833333365122477,2,30,30
63,0.447973268032074,0.9866666666666667,2,30,30
64,0.49744793891906736,0.976666669845581,3,30,30
65,0.43949511965115867,0.9800000031789143,3,30,30
66,0.46035675923029584,0.976666669845581,3,30,30
67,0.4770992056528727,0.99,3,30,30
68,0.46955018838246665,0.9866666666666667,2,30,30
69,0.4621261397997538,0.9766666642824808,3,30,30
70,0.4363714357217153,0.99,3,30,30
71,0.4221937076250712,0.976666669845581,2,30,30
72,0.4481747909386953,0.9933333333333333,4,30,30
73,0.441704580783844,0.9800000031789143,2,30,30
74,0.43422500014305115,0.9833333309491475,3,30,30
75,0.4568819618225098,0.986666669845581,2,30,30
76,0.44379618525505066,0.9799999976158142,2,30,30
77,0.41443819761276246,0.9833333309491475,3,30,30
78,0.42546743273735044,0.986666669845581,3,30,30
79,0.4910080107053121,0.986666669845581,2,30,30
80,0.45008461793263754,0.9833333365122477,3,30,30
81,0.43591103474299114,0.98,3,30,30
82,0.43330116192499796,0.9866666666666667,2,30,30
83,0.4588766781489054,0.99,2,30,30
84,0.414025426308314,0.99,2,30,30
85,0.4260252300898234,0.99,2,30,30
86,0.3932430779933929,0.986666669845581,3,30,30
87,0.43644570708274844,0.9799999976158142,2,30,30
88,0.40385041952133177,0.9733333309491475,4,30,30
89,0.4023223654429118,0.9799999976158142,4,30,30
90,0.403579318523407,0.9833333365122477,3,30,30
91,0.3955830518404643,0.9766666642824808,3,30,30
92,0.4003042189280192,0.9833333333333333,3,30,30
93,0.41929797808329267,0.9733333309491475,4,30,30
94,0.38594807783762614,0.9866666666666667,3,30,30
95,0.40402084827423096,0.9866666666666667,3,30,30
96,0.3794068706035614,0.986666669845581,5,30,30
97,0.37757681171099344,0.986666669845581,3,30,30
98,0.38849536418914793,0.9833333365122477,3,30,30
99,0.3881703317165375,0.986666669845581,3,30,30
100,0.44862674236297606,0.986666669845581,3,30,30
