epoch,trainLoss,trainAcc,o2_correct,vocabSize50,vocabSize80
0,4.015758666992188,0.02666666666666667,2,1,1
1,3.7453111171722413,0.03,1,2,1
2,3.5968024857838947,0.04,0,2,1
3,3.5042792765299478,0.08666666666666667,1,3,2
4,3.4513110160827636,0.09333333343267441,1,3,2
5,3.3635684076944985,0.13000000009934107,2,4,4
6,3.2343567498524983,0.13666666666666666,1,6,6
7,3.0903784243265786,0.24000000009934108,1,8,8
8,2.821877317428589,0.30666666746139526,1,11,8
9,2.6357977326711017,0.46,1,15,11
10,2.4432497596740723,0.4533333357175191,1,17,12
11,2.19224591255188,0.5333333309491476,1,20,14
12,2.0271116574605306,0.6166666666666667,2,24,17
13,1.797846457163493,0.6933333293596904,2,26,20
14,1.6587556552886964,0.7899999984105428,1,27,23
15,1.479302134513855,0.8366666682561239,1,29,25
16,1.4438275003433227,0.8033333373069763,1,29,25
17,1.2634683720270792,0.8566666674613953,2,29,26
18,1.2345832633972167,0.8566666674613953,1,29,28
19,1.096156366666158,0.8933333309491476,2,29,28
20,1.1321375036239625,0.8833333309491476,3,29,28
21,1.008227566878001,0.8966666642824809,2,29,28
22,0.9511743545532226,0.9266666642824809,3,29,29
23,0.9384349528948466,0.9099999976158142,2,29,29
24,0.8373961559931438,0.9366666642824809,2,29,29
25,0.8612975152333577,0.9399999976158142,3,29,29
26,0.8581333184242248,0.9366666642824809,3,30,29
27,0.7132300551732381,0.9566666642824809,2,30,29
28,0.7374736452102661,0.9266666642824809,2,30,29
29,0.7016655683517456,0.9533333309491475,3,30,29
30,0.6972002792358398,0.9566666642824809,3,30,29
31,0.6647343611717225,0.9499999976158142,2,30,29
32,0.6190118137995402,0.9633333309491475,2,30,29
33,0.6495453135172526,0.97,3,30,30
34,0.590559340318044,0.9833333365122477,3,30,30
35,0.6056620327631632,0.976666669845581,3,30,30
36,0.5903467599550883,0.986666669845581,2,30,30
37,0.5747619517644247,0.9733333365122477,2,30,30
38,0.5847065393129984,0.9733333333333334,3,30,30
39,0.548903911113739,0.9833333365122477,2,30,30
40,0.555389711856842,0.9800000031789143,2,30,30
41,0.5562685346603393,0.9700000031789144,2,30,30
42,0.5627017243703206,0.986666669845581,2,30,30
43,0.5048754417896271,0.99,3,30,30
44,0.5280557612578074,0.9933333333333333,2,30,30
45,0.4889962295691172,0.99,3,30,30
46,0.5459551088015239,0.99,2,30,30
47,0.4990761661529541,0.9933333333333333,3,30,30
48,0.49337559620539345,0.986666669845581,2,30,30
49,0.4599101781845093,0.9966666666666667,3,30,30
50,0.516366951862971,0.9966666666666667,2,30,30
51,0.4664202880859375,0.9933333333333333,2,30,30
52,0.44806018551190696,0.99,3,30,30
53,0.46835535446802773,0.9933333333333333,3,30,30
54,0.4473777790864309,0.99,3,30,30
55,0.4546799127260844,0.9966666666666667,3,30,30
56,0.42825074275334674,0.9966666666666667,2,30,30
57,0.44629879951477053,1.0,3,30,30
58,0.42312745928764345,0.9933333333333333,2,30,30
59,0.40700743794441224,0.9933333333333333,3,30,30
60,0.4274916370709737,1.0,3,30,30
61,0.42713201959927877,0.9933333333333333,2,30,30
62,0.4275716722011566,0.9966666666666667,3,30,30
63,0.4351351261138916,0.9966666666666667,2,30,30
64,0.41681421399116514,0.9933333333333333,3,30,30
65,0.4104741831620534,1.0,3,30,30
66,0.3920107217629751,0.9966666666666667,3,30,30
67,0.39596700231234233,1.0,3,30,30
68,0.40910157481829323,1.0,3,30,30
69,0.409907599290212,1.0,3,30,30
70,0.3865286540985107,1.0,3,30,30
71,0.3788334572315216,0.9966666666666667,3,30,30
72,0.3808064194520315,0.9966666666666667,3,30,30
73,0.37719074050585427,1.0,3,30,30
74,0.39048402031262713,1.0,3,30,30
75,0.38273728211720787,1.0,3,30,30
76,0.3937999165058136,0.9966666666666667,3,30,30
77,0.3931225601832072,0.9966666666666667,4,30,30
78,0.39535356958707174,0.9966666666666667,3,30,30
79,0.37741368055343627,1.0,3,30,30
80,0.3861167295773824,0.9966666666666667,3,30,30
81,0.3988250943024953,0.9966666666666667,3,30,30
82,0.36056200265884397,0.9966666666666667,2,30,30
83,0.3746805961926778,1.0,2,30,30
84,0.3600988777478536,1.0,3,30,30
85,0.3682591780026754,1.0,3,30,30
86,0.3459983519713084,1.0,2,30,30
87,0.36182950337727865,1.0,3,30,30
88,0.36220768292744954,1.0,3,30,30
89,0.3548609427611033,0.9966666666666667,3,30,30
90,0.37518598318099977,0.9966666666666667,2,30,30
91,0.37659546931584675,0.9933333333333333,2,30,30
92,0.3458502419789632,1.0,2,30,30
93,0.3690421223640442,1.0,3,30,30
94,0.3551675113042196,1.0,3,30,30
95,0.33285390814145405,0.9966666666666667,2,30,30
96,0.3910429044564565,1.0,3,30,30
97,0.35164428273836773,1.0,2,30,30
98,0.36304965019226076,1.0,2,30,30
99,0.32511974732081095,1.0,2,30,30
100,0.3469473342100779,1.0,3,30,30
