,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,0.3962,0.2762,0.3232,0.2828,0.3818,0.331,0.3806,0.4254,0.4022,0.442,0.4058,0.4522,0.5858,0.504,0.5358,0.5438,0.5952,0.5752
2,0.6026,0.6322,0.7658,0.8448,0.784,0.7814,0.8468,0.7962,0.808,0.8076,0.769,0.8248,0.8558,0.8848,0.8578,0.9372,0.938,0.9514
3,0.692,0.743,0.7254,0.7292,0.7436,0.8034,0.8154,0.869,0.94,0.959,0.9324,0.9646,0.94,0.9422,0.9344,0.9444,0.9266,0.9288
4,0.5694,0.745,0.8228,0.8866,0.8858,0.9004,0.927,0.9446,0.9592,0.9408,0.9594,0.9738,0.9634,0.9822,0.9894,0.9946,0.9858,0.9824
5,0.81,0.831,0.884,0.8808,0.9118,0.955,0.9464,0.94,0.9478,0.9856,0.9706,0.9836,0.975,0.976,0.9884,0.9932,0.9776,0.976
6,0.9082,0.935,0.939,0.9558,0.977,0.9622,0.9814,0.9852,0.9882,0.9856,0.9882,0.9792,0.9936,0.9846,0.9956,0.9962,0.9934,0.9944
7,0.8918,0.9238,0.9388,0.9634,0.9406,0.9716,0.9796,0.9866,0.9822,0.9838,0.9876,0.9928,0.9862,0.9832,0.9956,0.9952,0.9966,0.995
8,0.907,0.9376,0.9236,0.969,0.961,0.9658,0.9544,0.9782,0.9838,0.9788,0.9954,0.9864,0.9952,0.9984,0.9984,0.9986,0.999,0.994
9,0.8832,0.876,0.956,0.9424,0.972,0.966,0.9804,0.9828,0.9762,0.9848,0.9892,0.9902,0.9796,0.998,0.996,0.9992,0.9964,0.9986
