,5,10,15,20,25,30,35,40,45,50
1,0.644,0.68,0.748,0.716,0.724,0.72,0.708,0.724,0.764,0.736
2,0.636,0.752,0.824,0.856,0.82,0.852,0.856,0.868,0.892,0.864
3,0.824,0.88,0.864,0.896,0.868,0.896,0.904,0.908,0.904,0.9
4,0.824,0.928,0.916,0.92,0.924,0.932,0.932,0.928,0.948,0.956
5,0.824,0.816,0.932,0.92,0.944,0.924,0.956,0.96,0.932,0.948
6,0.88,0.892,0.892,0.928,0.944,0.936,0.96,0.952,0.956,0.948
7,0.736,0.904,0.944,0.932,0.94,0.932,0.956,0.964,0.94,0.944
8,0.856,0.908,0.956,0.952,0.956,0.948,0.964,0.968,0.968,0.952
9,0.84,0.964,0.964,0.96,0.936,0.948,0.964,0.956,0.952,0.952
10,0.872,0.912,0.944,0.952,0.944,0.94,0.968,0.976,0.948,0.964
11,0.876,0.928,0.916,0.956,0.948,0.952,0.956,0.96,0.956,0.972
12,0.78,0.936,0.948,0.968,0.96,0.948,0.96,0.972,0.964,0.972
13,0.832,0.932,0.94,0.968,0.956,0.968,0.98,0.948,0.968,0.96
14,0.876,0.928,0.96,0.956,0.948,0.96,0.964,0.964,0.976,0.964
