epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,128,0,0,1,0
1,128,1,0,1,0
2,211,2,1,1,1
3,147,3,1,2,1
4,146,5,1,2,1
5,103,5,1,2,1
6,210,7,1,2,1
7,220,8,2,2,1
8,172,13,2,2,1
9,173,16,3,3,1
10,200,17,5,3,1
11,233,17,9,3,1
12,245,18,9,3,1
13,194,18,9,3,1
14,267,19,9,3,1
15,235,22,13,3,1
16,283,23,15,3,1
17,271,25,18,3,1
18,282,25,18,3,1
19,307,28,20,3,1
20,306,28,20,3,1
21,318,29,22,3,1
22,305,29,23,3,1
23,304,30,23,3,1
24,271,31,24,3,1
25,309,32,25,3,1
26,316,32,25,3,1
27,323,34,27,3,1
28,321,34,27,3,1
29,317,34,27,3,1
30,326,34,28,3,1
31,332,34,31,3,1
32,350,35,31,3,1
33,337,35,31,3,1
34,329,35,32,3,1
35,308,35,32,3,1
36,337,35,32,3,1
37,371,35,33,3,1
38,329,36,33,3,1
39,361,36,33,3,1
40,362,36,35,3,1
41,362,36,35,3,1
42,374,36,35,3,1
43,355,36,35,3,1
44,351,36,35,3,1
45,345,36,35,3,1
46,363,36,35,3,1
47,352,36,35,3,1
48,360,36,35,3,1
49,360,36,35,3,1
50,352,36,35,3,1
51,361,36,35,3,1
52,376,36,35,3,1
53,358,36,35,3,1
54,374,36,35,3,1
55,362,36,35,3,1
56,382,36,35,3,1
57,360,36,35,3,1
58,355,36,36,3,1
59,372,36,36,3,1
60,397,36,36,3,1
61,375,36,36,3,1
62,392,36,36,3,1
63,362,36,36,3,1
64,359,36,36,3,1
65,374,36,36,3,1
66,375,36,36,3,1
67,384,36,36,3,1
68,356,36,36,3,1
69,350,36,36,3,1
70,375,36,36,3,1
