epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,207,1,1,1,1
1,137,2,1,2,1
2,106,3,1,2,2
3,113,4,1,2,2
4,102,4,1,2,2
5,95,5,1,2,2
6,79,5,2,2,2
7,61,5,2,2,2
8,93,5,2,2,2
9,77,5,2,2,2
10,71,5,2,2,2
11,86,8,2,2,2
12,77,8,2,2,2
13,98,11,5,2,2
14,142,12,6,2,2
15,143,12,7,3,2
16,109,13,9,3,2
17,168,16,11,3,2
18,170,19,11,3,2
19,185,21,13,3,2
20,185,24,14,3,2
21,181,25,14,3,2
22,182,27,17,3,2
23,181,29,17,3,2
24,246,30,19,3,2
25,210,32,21,3,2
26,176,32,21,3,2
27,183,32,22,4,2
28,245,33,23,4,2
29,173,33,24,4,2
30,222,34,26,4,2
31,221,34,26,4,2
32,252,34,27,4,2
33,203,34,27,4,2
34,241,34,27,4,2
35,211,34,28,4,2
36,225,34,29,4,2
37,178,34,30,4,2
38,209,34,30,4,2
39,205,34,30,4,2
40,253,35,31,4,2
41,241,35,31,4,2
42,246,35,31,4,2
43,266,35,32,4,2
44,253,35,32,4,2
45,270,35,32,4,2
46,279,35,32,4,2
47,241,35,32,4,2
48,217,35,34,4,2
49,265,35,34,4,2
50,272,35,34,4,2
51,263,35,34,4,2
52,263,35,34,4,2
53,264,36,34,4,2
54,315,36,34,4,2
55,280,36,34,4,2
56,271,36,34,4,2
57,293,36,34,4,2
58,279,36,34,4,2
59,283,36,34,4,2
60,275,36,34,4,2
61,266,36,34,4,2
62,261,36,34,4,2
63,269,36,35,4,2
64,290,36,35,4,2
65,278,36,35,4,2
66,308,36,35,4,2
67,286,36,35,4,2
68,239,36,35,4,2
69,288,36,35,4,2
70,262,36,35,4,2
