epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,184,1,1,0,0
1,140,2,1,1,0
2,102,2,2,1,0
3,119,4,2,1,0
4,91,4,2,2,0
5,112,4,2,2,0
6,138,5,3,2,1
7,93,6,3,3,1
8,133,6,3,3,1
9,137,6,3,4,1
10,146,7,3,5,1
11,158,8,4,5,1
12,176,10,4,5,1
13,189,12,4,5,1
14,204,12,5,5,1
15,196,12,6,5,1
16,213,16,8,5,1
17,169,18,10,5,1
18,212,19,12,5,1
19,229,19,14,5,1
20,233,22,15,5,1
21,219,23,17,5,1
22,244,25,19,5,1
23,237,27,20,5,1
24,243,27,21,5,1
25,259,27,22,6,1
26,298,29,22,6,1
27,264,31,24,6,1
28,240,31,24,6,1
29,235,32,24,6,1
30,282,33,25,6,1
31,292,33,25,6,1
32,320,33,27,6,1
33,298,33,27,6,1
34,283,34,29,6,1
35,280,34,31,6,1
36,325,34,31,6,1
37,295,34,31,6,1
38,315,34,31,6,1
39,297,35,31,6,1
40,290,35,31,6,1
41,347,35,31,6,1
42,314,35,31,6,1
43,307,35,32,6,1
44,310,35,32,6,1
45,304,35,32,6,1
46,303,35,33,6,1
47,303,35,33,6,1
48,323,35,33,6,1
49,323,35,33,6,1
50,323,35,34,6,1
51,319,35,34,6,1
52,307,35,34,6,1
53,294,35,34,6,1
54,310,36,34,6,1
55,362,36,34,6,1
56,317,36,34,6,1
57,349,36,34,6,1
58,302,36,34,6,1
59,356,36,34,6,1
60,337,36,36,6,1
61,359,36,36,6,1
62,325,36,36,6,1
63,335,36,36,6,1
64,356,36,36,6,1
65,324,36,36,6,1
66,359,36,36,6,1
67,336,36,36,6,1
68,349,36,36,6,1
69,334,36,36,6,1
70,334,36,36,6,1
