epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,116,1,1,1,1
1,117,2,1,2,1
2,90,2,1,3,1
3,115,3,2,4,1
4,103,3,3,4,1
5,97,3,3,4,1
6,99,3,3,5,1
7,102,3,3,5,1
8,101,4,3,5,2
9,104,6,3,6,3
10,102,7,4,6,3
11,104,10,4,6,3
12,132,11,5,6,3
13,135,15,6,6,3
14,129,17,8,6,3
15,149,20,10,6,3
16,140,20,10,6,3
17,144,20,10,6,3
18,168,21,11,6,3
19,221,22,14,6,3
20,187,23,15,7,3
21,202,25,17,7,3
22,181,27,17,7,3
23,224,28,17,7,3
24,205,28,19,7,3
25,198,30,19,7,3
26,218,30,20,7,3
27,221,30,22,7,3
28,236,33,25,7,3
29,226,34,26,7,3
30,261,34,26,7,3
31,233,34,26,7,3
32,257,35,28,7,3
33,256,36,28,7,3
34,261,36,30,7,3
35,300,36,31,7,3
36,282,36,31,7,3
37,284,36,34,7,3
38,292,36,35,7,3
39,288,36,35,8,3
40,255,36,35,8,3
41,281,36,35,8,3
42,282,36,36,8,4
43,293,36,36,8,4
44,287,36,36,8,4
45,304,36,36,8,4
46,299,36,36,8,4
47,274,36,36,8,4
48,313,36,36,8,4
49,308,36,36,8,4
50,283,36,36,8,4
51,306,36,36,8,4
52,290,36,36,8,4
53,301,36,36,8,4
54,316,36,36,8,4
55,297,36,36,8,4
56,293,36,36,8,4
57,300,36,36,8,4
58,307,36,36,8,4
59,315,36,36,8,4
60,294,36,36,8,4
61,302,36,36,8,4
62,300,36,36,8,4
63,309,36,36,8,4
64,310,36,36,8,4
65,300,36,36,8,4
66,321,36,36,9,4
67,316,36,36,9,4
68,333,36,36,9,4
69,286,36,36,9,4
70,295,36,36,10,4
