epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,135,1,1,1,0
1,112,1,1,1,0
2,89,3,2,2,0
3,87,3,2,2,0
4,106,4,2,3,0
5,72,5,2,3,0
6,67,6,2,3,0
7,61,6,2,3,0
8,96,6,2,3,0
9,98,8,2,3,1
10,134,12,2,3,1
11,104,14,4,3,1
12,212,15,6,3,1
13,235,17,6,3,1
14,250,20,8,3,1
15,250,20,9,3,1
16,282,23,12,3,1
17,304,25,15,3,1
18,263,26,15,3,1
19,276,27,15,3,1
20,307,28,15,3,1
21,310,29,16,3,1
22,302,30,19,3,1
23,306,30,20,3,1
24,328,31,23,3,1
25,324,32,23,3,1
26,347,34,23,3,1
27,372,34,24,3,1
28,342,35,24,3,1
29,360,35,25,3,1
30,360,36,27,3,1
31,356,36,27,3,1
32,346,36,27,3,1
33,362,36,28,3,1
34,346,36,29,3,1
35,319,36,30,3,1
36,346,36,30,3,1
37,354,36,30,3,1
38,342,36,30,3,1
39,358,36,32,3,1
40,376,36,33,3,1
41,361,36,34,3,1
42,355,36,34,3,1
43,371,36,34,3,1
44,406,36,34,3,1
45,378,36,34,3,1
46,381,36,34,3,1
47,386,36,34,3,1
48,388,36,34,3,1
49,374,36,35,3,1
50,358,36,35,3,1
51,398,36,35,3,1
52,361,36,35,3,1
53,382,36,35,3,1
54,377,36,35,4,1
55,395,36,35,4,1
56,400,36,35,4,1
57,390,36,35,4,1
58,366,36,35,4,1
59,376,36,35,4,1
60,404,36,36,4,1
61,369,36,36,4,1
62,399,36,36,5,1
63,378,36,36,5,1
64,353,36,36,5,1
65,378,36,36,5,1
66,387,36,36,5,1
67,374,36,36,5,1
68,388,36,36,5,1
69,391,36,36,5,1
70,382,36,36,5,1
