epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,129,1,0,1,1
1,125,2,1,2,1
2,152,2,1,2,1
3,102,5,1,2,1
4,89,5,1,2,1
5,101,5,2,3,1
6,111,5,2,4,1
7,164,5,3,4,1
8,142,5,4,4,1
9,195,7,5,4,1
10,229,11,5,4,1
11,220,16,5,4,1
12,232,16,7,4,1
13,249,17,8,4,1
14,282,19,9,4,1
15,285,22,11,5,1
16,273,23,12,5,1
17,233,25,12,5,1
18,280,25,13,5,1
19,248,26,15,5,1
20,277,28,16,5,1
21,315,28,17,5,1
22,298,30,19,5,1
23,280,30,22,5,1
24,297,31,25,5,1
25,322,31,25,5,1
26,288,31,26,5,1
27,334,31,27,5,1
28,299,32,27,5,1
29,314,32,28,5,1
30,318,32,28,5,1
31,334,32,28,5,1
32,318,32,29,5,1
33,349,33,30,6,1
34,357,34,30,6,1
35,304,34,31,7,1
36,341,35,31,7,1
37,314,35,31,7,1
38,314,35,31,8,1
39,326,36,31,8,1
40,335,36,31,8,1
41,344,36,32,8,1
42,352,36,32,8,1
43,349,36,32,8,1
44,341,36,32,8,1
45,346,36,33,8,1
46,344,36,33,8,1
47,319,36,33,8,1
48,332,36,33,8,2
49,352,36,33,8,2
50,315,36,33,8,2
51,350,36,34,8,2
52,340,36,34,8,2
53,349,36,35,8,2
54,354,36,36,8,2
55,331,36,36,8,2
56,353,36,36,8,2
57,352,36,36,8,2
58,368,36,36,8,2
59,366,36,36,8,2
60,377,36,36,9,2
61,362,36,36,9,2
62,357,36,36,9,2
63,356,36,36,9,2
64,368,36,36,9,2
65,355,36,36,9,2
66,362,36,36,9,2
67,374,36,36,9,2
68,397,36,36,9,2
69,378,36,36,9,2
70,389,36,36,9,2
