epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,163,1,1,1,1
1,84,1,1,1,1
2,89,1,1,2,2
3,97,2,1,2,2
4,75,5,2,2,2
5,76,6,2,2,2
6,61,7,2,2,2
7,83,9,4,3,2
8,113,10,4,3,2
9,95,11,5,4,2
10,151,18,9,4,2
11,162,20,9,4,2
12,213,22,12,4,2
13,176,25,13,4,2
14,190,30,18,4,2
15,198,30,19,4,2
16,208,31,20,4,2
17,223,31,20,4,2
18,222,31,23,4,2
19,232,31,24,4,2
20,266,33,26,4,2
21,251,33,26,4,2
22,262,33,27,4,2
23,285,33,28,4,2
24,291,33,29,4,2
25,296,34,30,4,2
26,276,36,31,4,2
27,309,36,32,5,2
28,282,36,32,5,2
29,305,36,32,5,2
30,284,36,33,5,2
31,296,36,34,5,2
32,299,36,34,5,2
33,303,36,34,5,2
34,282,36,34,6,2
35,305,36,34,6,2
36,312,36,34,6,2
37,294,36,34,6,2
38,332,36,35,6,2
39,310,36,35,6,2
40,311,36,35,6,2
41,350,36,35,6,2
42,359,36,35,6,2
43,332,36,35,6,2
44,358,36,35,6,2
45,334,36,35,6,2
46,296,36,35,6,2
47,301,36,35,6,2
48,309,36,35,6,2
49,345,36,35,6,2
50,344,36,35,6,2
51,333,36,35,6,2
52,349,36,35,6,2
53,325,36,35,6,2
54,317,36,35,6,2
55,336,36,35,6,2
56,341,36,35,6,2
57,352,36,36,6,2
58,349,36,36,6,2
59,356,36,36,6,2
60,340,36,36,6,2
61,340,36,36,6,2
62,372,36,36,6,2
63,354,36,36,6,2
64,357,36,36,6,2
65,352,36,36,6,2
66,346,36,36,6,2
67,335,36,36,6,2
68,347,36,36,6,2
69,345,36,36,6,2
70,374,36,36,6,2
