epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,190,0,0,1,1
1,206,0,0,2,1
2,116,1,1,3,2
3,102,2,2,4,2
4,172,4,2,4,3
5,91,6,2,4,3
6,93,7,2,4,3
7,100,7,2,4,3
8,83,7,2,4,3
9,69,8,2,4,3
10,78,8,2,4,3
11,82,9,2,4,3
12,75,9,2,4,3
13,78,9,2,4,3
14,82,9,2,5,3
15,64,9,3,5,3
16,88,9,3,5,3
17,80,10,3,5,3
18,91,12,4,5,3
19,90,12,4,5,3
20,95,14,4,5,3
21,104,14,4,5,3
22,117,15,4,5,3
23,118,17,6,5,3
24,123,21,7,5,3
25,113,21,7,6,3
26,128,24,7,7,3
27,144,24,9,7,3
28,165,26,10,7,3
29,152,27,11,7,3
30,184,27,11,7,3
31,186,28,11,7,3
32,196,29,11,7,3
33,176,29,11,7,3
34,187,30,11,7,3
35,201,32,16,8,3
36,219,33,16,8,3
37,212,34,17,8,3
38,209,34,17,8,3
39,205,34,17,8,3
40,228,35,19,8,3
41,230,35,20,8,3
42,245,35,20,8,4
43,225,35,23,8,4
44,228,35,23,8,4
45,239,35,24,8,4
46,216,35,24,8,4
47,227,35,24,8,4
48,232,35,26,9,4
49,243,36,28,9,4
50,235,36,28,9,4
51,223,36,29,9,4
52,228,36,30,9,4
53,213,36,30,9,4
54,225,36,30,9,4
55,232,36,30,9,4
56,233,36,30,9,4
57,229,36,31,9,4
58,268,36,31,10,4
59,274,36,31,10,4
60,255,36,31,10,4
61,237,36,33,10,4
62,239,36,33,10,4
63,259,36,33,10,4
64,239,36,33,10,4
65,238,36,33,10,4
66,248,36,33,10,4
67,242,36,33,10,4
68,250,36,33,10,4
69,231,36,33,10,4
70,254,36,33,10,4
