epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,172,2,1,1,0
1,121,2,1,1,0
2,107,4,1,1,0
3,83,5,1,1,0
4,90,5,1,2,0
5,108,5,1,2,0
6,82,7,1,2,0
7,116,9,1,2,0
8,114,13,1,2,0
9,117,16,4,3,0
10,132,19,9,4,0
11,147,20,11,4,0
12,173,24,14,5,0
13,195,25,18,5,0
14,227,25,19,5,0
15,227,26,23,5,0
16,227,27,24,5,0
17,260,28,24,5,0
18,260,29,24,5,0
19,276,29,25,5,0
20,263,31,26,5,0
21,270,31,26,5,0
22,276,31,29,5,0
23,266,32,30,5,0
24,276,34,30,5,0
25,312,35,30,5,0
26,282,35,31,5,0
27,305,35,31,5,0
28,309,36,32,5,0
29,294,36,32,5,0
30,291,36,32,5,0
31,323,36,32,5,0
32,290,36,33,5,0
33,308,36,34,5,0
34,319,36,34,5,0
35,297,36,34,5,0
36,294,36,34,5,0
37,312,36,34,5,0
38,314,36,34,5,0
39,319,36,34,5,0
40,290,36,35,5,0
41,341,36,35,5,0
42,331,36,35,6,0
43,316,36,35,6,0
44,315,36,35,6,0
45,340,36,35,6,0
46,318,36,35,6,0
47,313,36,35,6,0
48,326,36,35,6,0
49,319,36,35,6,0
50,325,36,35,6,0
51,322,36,35,6,0
52,323,36,35,6,0
53,320,36,36,6,0
54,314,36,36,6,0
55,340,36,36,6,0
56,337,36,36,6,0
57,328,36,36,6,0
58,338,36,36,6,0
59,337,36,36,6,0
60,322,36,36,6,0
61,324,36,36,6,0
62,304,36,36,6,0
63,325,36,36,6,0
64,311,36,36,6,0
65,309,36,36,6,0
66,328,36,36,6,0
67,347,36,36,6,0
68,326,36,36,6,0
69,297,36,36,6,0
70,319,36,36,6,0
