epoch,o2_correct,vocabSize50_s,vocabSize80_s,vocabSize50_t,vocabSize80_t
0,149,1,0,1,1
1,124,1,0,1,1
2,115,1,0,1,1
3,104,3,0,2,2
4,85,5,1,2,2
5,104,5,1,2,2
6,77,5,1,3,3
7,148,6,1,3,3
8,156,7,2,3,3
9,92,7,2,3,3
10,139,7,2,3,3
11,146,8,2,3,3
12,166,10,2,4,3
13,208,11,2,4,3
14,175,13,3,6,3
15,235,15,4,6,3
16,248,17,5,6,3
17,259,17,6,6,3
18,210,19,8,6,3
19,211,21,10,6,3
20,236,24,10,6,3
21,295,25,14,6,3
22,301,26,14,6,3
23,260,27,15,6,3
24,279,29,17,6,3
25,272,31,18,6,3
26,306,31,19,6,3
27,298,31,20,6,3
28,301,31,20,6,3
29,298,32,22,6,3
30,267,33,23,6,3
31,294,34,23,6,3
32,270,34,25,6,3
33,301,34,25,6,3
34,298,34,25,7,3
35,311,34,25,7,3
36,296,34,26,7,3
37,295,34,27,7,3
38,290,34,27,7,3
39,305,35,27,7,3
40,319,35,29,7,3
41,301,36,32,7,3
42,318,36,32,7,3
43,323,36,32,8,3
44,317,36,32,8,3
45,307,36,32,8,3
46,312,36,32,8,3
47,326,36,34,8,3
48,311,36,34,8,3
49,320,36,34,8,3
50,336,36,34,8,3
51,286,36,34,8,3
52,299,36,34,9,3
53,310,36,35,9,3
54,297,36,35,9,3
55,333,36,35,9,3
56,338,36,35,10,3
57,306,36,35,10,3
58,328,36,35,10,3
59,331,36,35,10,3
60,340,36,35,10,3
61,332,36,35,10,3
62,344,36,35,10,3
63,363,36,35,10,3
64,324,36,35,10,3
65,320,36,35,10,3
66,330,36,35,10,3
67,321,36,35,10,3
68,336,36,35,10,3
69,307,36,35,10,3
70,325,36,35,10,3
