epoch,trainLoss,trainAcc,o2_correct,vocabSize50,vocabSize80
0,3.995527687072754,0.03666666666666667,2,1,1
1,3.852339859008789,0.04666666626930237,1,2,1
2,3.791130797068278,0.05666666646798452,2,2,1
3,3.735733391443888,0.06333333293596903,3,2,1
4,3.686785297393799,0.07000000019868215,2,4,3
5,3.646635535558065,0.08333333134651184,3,6,4
6,3.619331375757853,0.03666666716337204,3,6,4
7,3.570344320933024,0.0999999996026357,3,8,5
8,3.5331595039367674,0.04666666766007741,3,8,6
9,3.47751797358195,0.10333333253860473,3,8,6
10,3.454855120976766,0.12666666746139527,4,8,6
11,3.442400360107422,0.12333333253860473,2,8,6
12,3.3846764437357586,0.18333333412806194,4,9,6
13,3.362909959157308,0.1900000015894572,3,10,7
14,3.2443667475382485,0.17333333571751913,3,10,8
15,3.1940079021453855,0.28666666507720945,2,14,8
16,3.1584064547220865,0.2833333357175191,4,14,8
17,3.10877698580424,0.32333333492279054,3,15,8
18,2.8848494911193847,0.3499999976158142,4,16,8
19,2.9273925844828286,0.3366666674613953,5,19,10
20,2.7463887882232667,0.46666666905085247,4,21,12
21,2.6579187297821045,0.41999999682108563,4,22,14
22,2.577881070772807,0.4666666666666667,5,22,14
23,2.502368310292562,0.37666666666666665,5,23,14
24,2.354167251586914,0.4400000031789144,5,23,15
25,2.3394480546315513,0.5533333317438761,5,24,17
26,2.281363156636556,0.4933333365122477,5,24,17
27,2.1671365292867026,0.6333333349227905,5,24,20
28,2.052871953646342,0.48666667064030966,5,25,20
29,2.075753585497538,0.5766666666666667,5,25,21
30,1.8800357135136923,0.6766666650772095,5,27,22
31,1.7795710388819377,0.7199999976158142,5,28,24
32,1.561582326889038,0.7533333309491476,5,28,25
33,1.5733089749018352,0.780000003973643,5,30,26
34,1.5309234205881754,0.7933333317438761,5,30,27
35,1.4202209854125976,0.8633333309491475,5,30,28
36,1.4503960291544595,0.8000000007947285,5,30,28
37,1.3719168519973755,0.8799999976158142,5,30,29
38,1.3053763898213704,0.8266666634877523,5,30,29
39,1.1561495184898376,0.8933333373069763,5,30,29
40,1.2186155207951863,0.8400000039736429,5,30,30
41,1.0281046827634175,0.9233333365122477,5,30,30
42,1.112387273311615,0.8700000007947286,5,30,30
43,1.0266654062271119,0.9199999976158142,5,30,30
44,1.0122200743357341,0.9233333309491475,5,30,30
45,0.8702007230122885,0.9333333309491475,5,30,30
46,0.9146699221928914,0.9000000007947286,5,30,30
47,0.9095210448900859,0.9566666674613953,5,30,30
48,0.9407330560684204,0.9066666642824809,5,30,30
49,0.8368643045425415,0.9533333309491475,5,30,30
50,0.8082021307945252,0.9299999976158142,5,30,30
51,0.8410901085535685,0.9633333365122477,5,30,30
52,0.787637186050415,0.9633333333333334,5,30,30
53,0.9480313467979431,0.8300000015894572,5,30,30
54,0.6823685089747111,0.9733333333333334,5,30,30
55,0.7632677658398946,0.9399999976158142,5,30,30
56,0.6145048983891805,0.97,5,30,30
57,0.6995873141288758,0.9533333309491475,5,30,30
58,0.6905330077807108,0.9700000031789144,5,30,30
59,0.6735243542989096,0.96,5,30,30
60,0.6222776158650716,0.9766666666666667,5,30,30
61,0.6303567663828532,0.9633333365122477,5,30,30
62,0.5422541983922322,0.9933333333333333,5,30,30
63,0.6296172173817952,0.98,5,30,30
64,0.5804750712712606,0.9633333341280619,5,30,30
65,0.5655803513526917,0.97,5,30,30
66,0.562658531665802,0.9533333309491475,5,30,30
67,0.5056379965941111,0.9766666666666667,5,30,30
68,0.4921377984682719,0.9866666666666667,5,30,30
69,0.5255068159103393,0.9733333365122477,5,30,30
70,0.5079148109753927,0.9866666666666667,5,30,30
71,0.5461260008811951,0.9699999976158142,5,30,30
72,0.5006927104791006,0.99,5,30,30
73,0.4714557234446208,0.9900000031789143,5,30,30
74,0.4713399346669515,0.99,5,30,30
75,0.5211392211914062,0.9799999976158142,5,30,30
76,0.5548684517542521,0.9766666642824808,5,30,30
77,0.5173348637421926,0.99,5,30,30
78,0.5589807907740275,0.956666669845581,4,30,30
79,0.44054333368937176,0.976666669845581,5,30,30
80,0.433602020740509,0.98,5,30,30
81,0.42910999337832134,0.9966666666666667,5,30,30
82,0.42803093473116555,0.99,5,30,30
83,0.5832321278254191,0.9433333333333334,5,30,30
84,0.4808576742808024,0.9833333365122477,5,30,30
85,0.39658870339393615,0.9933333333333333,5,30,30
86,0.45003826379776,0.99,5,30,30
87,0.4265194272994995,0.99,5,30,30
88,0.3899667437871297,0.9933333333333333,5,30,30
89,0.39976813793182375,0.9900000031789143,5,30,30
90,0.45965149442354836,0.9833333333333333,5,30,30
91,0.407182993888855,0.98,5,30,30
92,0.3866032870610555,1.0,5,30,30
93,0.4192938284079234,0.99,5,30,30
94,0.4231074261665344,0.9866666666666667,5,30,30
95,0.3674038322766622,1.0,5,30,30
96,0.3802342343330383,1.0,5,30,30
97,0.41637158036231997,0.99,5,30,30
98,0.4178332996368408,1.0,5,30,30
99,0.42386774977048236,0.9933333333333333,5,30,30
100,0.39353708426157635,0.9966666666666667,5,30,30
