,50,100,150,200,250
1,0.32,0.28,0.353333,0.385,0.332
2,0.58,0.65,0.786667,0.845,0.904
3,0.82,0.92,0.966667,0.995,0.992
4,0.94,1.0,0.993333,1.0,1.0
5,0.96,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0
7,0.98,1.0,1.0,1.0,1.0
