epoch,trainLoss,trainAcc,secondOrderAcc,vocabSize50,vocabSize80
0,3.391855239868164,0.07111111283302307,0.4025,1,1
1,3.2145626544952393,0.07999999821186066,0.319,1,0
2,3.1583251953125,0.07111111283302307,0.3175,1,1
3,3.122356653213501,0.09777777642011642,0.368,2,0
4,3.094986915588379,0.10222221910953522,0.354,2,0
5,3.043654441833496,0.19555555284023285,0.3855,3,1
6,2.9635097980499268,0.2888889014720917,0.4505,5,1
7,2.9535181522369385,0.1644444465637207,0.41,2,1
8,2.887620687484741,0.20444443821907043,0.378,2,1
9,2.7936415672302246,0.1688888818025589,0.5325,3,1
10,2.756929397583008,0.2888889014720917,0.5845,3,3
11,2.6270246505737305,0.3199999928474426,0.562,5,1
12,2.5643019676208496,0.3377777636051178,0.579,6,2
13,2.4968032836914062,0.4000000059604645,0.623,6,3
14,2.3555405139923096,0.4444444477558136,0.5875,5,4
15,2.3259706497192383,0.5377777814865112,0.5435,9,6
16,2.2978475093841553,0.47111111879348755,0.6535,6,4
17,2.205104351043701,0.47999998927116394,0.6515,8,4
18,2.0387156009674072,0.5733333230018616,0.681,9,5
19,2.057291030883789,0.6222222447395325,0.6595,10,5
20,2.1021502017974854,0.6311110854148865,0.6025,9,7
21,1.9874249696731567,0.6755555272102356,0.6105,10,7
22,1.8316066265106201,0.6755555272102356,0.688,11,6
23,1.80070161819458,0.6666666865348816,0.705,11,8
24,1.7863012552261353,0.6888889074325562,0.635,12,8
25,1.6775062084197998,0.7333333492279053,0.6585,12,8
26,1.7436273097991943,0.7866666913032532,0.625,13,10
27,1.4797548055648804,0.7511110901832581,0.719,13,8
28,1.4489482641220093,0.800000011920929,0.7,11,11
29,1.390004277229309,0.7599999904632568,0.734,12,10
30,1.3543727397918701,0.7911111116409302,0.73,13,8
31,1.3342251777648926,0.7822222113609314,0.744,13,10
32,1.306072473526001,0.8088889122009277,0.751,13,9
33,1.2881170511245728,0.8666666746139526,0.7175,14,12
34,1.3311400413513184,0.7777777910232544,0.68,12,10
35,1.1763672828674316,0.8666666746139526,0.737,15,11
36,1.184981107711792,0.804444432258606,0.723,13,9
37,1.2272534370422363,0.8533333539962769,0.7025,14,11
38,1.091368317604065,0.8577777743339539,0.7535,14,10
39,1.0994781255722046,0.8799999952316284,0.7195,14,12
40,1.0266474485397339,0.897777795791626,0.7695,15,12
41,1.057922124862671,0.8622221946716309,0.682,14,12
42,1.0520806312561035,0.9066666960716248,0.6705,15,13
43,0.9372498393058777,0.9288889169692993,0.768,15,13
44,0.8658530712127686,0.9200000166893005,0.753,15,14
45,0.8547922968864441,0.9155555367469788,0.758,15,12
46,0.8457601070404053,0.902222216129303,0.782,15,13
47,1.0379647016525269,0.8933333158493042,0.678,15,11
48,0.8654929399490356,0.9288889169692993,0.7605,15,14
49,0.9127964377403259,0.9333333373069763,0.719,15,13
50,0.9224925637245178,0.9244444370269775,0.695,15,13
51,0.8164422512054443,0.9288889169692993,0.7375,15,13
52,0.7461211681365967,0.9422222375869751,0.75,15,14
53,0.7014704942703247,0.9644444584846497,0.748,15,14
54,0.6729477643966675,0.9466666579246521,0.7695,15,14
55,0.6295645236968994,0.9555555582046509,0.7805,15,15
56,0.7143846154212952,0.9555555582046509,0.7525,15,15
57,0.6333115100860596,0.9422222375869751,0.783,15,13
58,0.639406681060791,0.9466666579246521,0.777,15,14
59,0.7359147071838379,0.9644444584846497,0.7245,15,14
60,0.6369474530220032,0.9733333587646484,0.7725,15,15
61,0.61603844165802,0.9822221994400024,0.759,15,15
62,0.5782393217086792,0.9733333587646484,0.7855,15,15
63,0.6126198768615723,0.9644444584846497,0.7335,15,15
64,0.5666462182998657,0.9733333587646484,0.7835,15,15
65,0.6187925338745117,0.9733333587646484,0.702,15,15
66,0.5619409084320068,0.9777777791023254,0.7875,15,15
67,0.5491904020309448,0.9688888788223267,0.7805,15,14
68,0.5282177925109863,0.9644444584846497,0.8135,15,14
69,0.5350383520126343,0.9911110997200012,0.7435,15,15
70,0.5207018852233887,0.9911110997200012,0.765,15,15
71,0.584931492805481,0.9333333373069763,0.768,14,14
72,0.502152144908905,0.9733333587646484,0.7795,15,15
73,0.4966772794723511,0.9866666793823242,0.8045,15,15
74,0.5076553821563721,0.9599999785423279,0.781,15,14
75,0.47614043951034546,0.9822221994400024,0.7805,15,15
76,0.5310450792312622,0.995555579662323,0.719,15,15
77,0.4710657298564911,0.9866666793823242,0.769,15,15
78,0.45042693614959717,0.995555579662323,0.7995,15,15
79,0.4621320962905884,0.9688888788223267,0.799,15,14
80,0.4644463360309601,0.9644444584846497,0.795,15,14
81,0.4351086914539337,0.995555579662323,0.8055,15,15
82,0.4726865887641907,0.9555555582046509,0.7995,15,14
83,0.4326137900352478,0.995555579662323,0.792,15,15
84,0.42765170335769653,0.9911110997200012,0.7875,15,15
85,0.4279313385486603,0.9911110997200012,0.7985,15,15
86,0.4165295958518982,0.995555579662323,0.7965,15,15
87,0.46929287910461426,0.995555579662323,0.7155,15,15
88,0.4011853337287903,1.0,0.7915,15,15
89,0.38728344440460205,1.0,0.8135,15,15
90,0.40429025888442993,1.0,0.7685,15,15
